id,param1,param2,bnf,type
1,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.refresh.url,{(fs.adl.oauth2.access.token.provider.type = 'ClientCredential') => (fs.adl.oauth2.refresh.url != null)},control
2,mapreduce.shuffle.transferTo.allowed,mapreduce.shuffle.transfer.buffer.size,{(mapreduce.shuffle.transferTo.allowed = false) => (mapreduce.shuffle.transfer.buffer.size != null)},control
3,rpc.metrics.percentiles.intervals,rpc.metrics.quantile.enable,"{(rpc.metrics.quantile.enable = true) => (rpc.metrics.percentiles.intervals in {""ANY""} && rpc.metrics.percentiles.intervals != null)}",control
4,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.msi.port,"{(fs.adl.oauth2.access.token.provider.type = 'MSI') => (fs.adl.oauth2.msi.port != null) && (fs.adl.oauth2.msi.port in {50342, 50343, 50344})}",value
5,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.client.id,{(fs.adl.oauth2.access.token.provider.type = 'ClientCredential') => (fs.adl.oauth2.client.id != null) && (fs.adl.oauth2.access.token.provider.type = 'RefreshToken') => (fs.adl.oauth2.client.id != null)},control
6,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.credential,{(fs.adl.oauth2.access.token.provider.type = 'ClientCredential') => (fs.adl.oauth2.credential != null)},control
7,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.access.token.provider,{(fs.adl.oauth2.access.token.provider.type = 'Custom') => (fs.adl.oauth2.access.token.provider != null)},control
8,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.devicecode.clientapp.id,{(fs.adl.oauth2.access.token.provider.type = 'DeviceCode') => (fs.adl.oauth2.devicecode.clientapp.id != null)},control
9,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.refresh.token,{(fs.adl.oauth2.access.token.provider.type = 'RefreshToken') => (fs.adl.oauth2.refresh.token != null)},control
10,fs.client.resolve.topology.enabled,net.topology.node.switch.mapping.impl,{(fs.client.resolve.topology.enabled = true) => (net.topology.node.switch.mapping.impl != null)},control
11,net.topology.node.switch.mapping.impl,net.topology.table.file.name,{(net.topology.node.switch.mapping.impl = 'org.apache.hadoop.net.ScriptBasedMapping') => (net.topology.table.file.name != null)},control
12,dfs.datanode.fsdataset.volume.choosing.policy,dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold,{(dfs.datanode.fsdataset.volume.choosing.policy = 'org.apache.hadoop.hdfs.server.datanode.fsdataset') => (dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold != null)},control
13,dfs.block.replicator.classname,dfs.namenode.available-space-block-placement-policy.balanced-space-preference-fraction,{(dfs.block.replicator.classname = 'org.apache.hadoop.hdfs.server.blockmanagement.AvailableSpaceBlockPlacementPolicy') => (dfs.namenode.available-space-block-placement-policy.balanced-space-preference-fraction in [0.0 .. 1.0])},value
14,dfs.datanode.fsdataset.volume.choosing.policy,dfs.datanode.available-space-volume-choosing-policy.balanced-space-preference-fraction,{(dfs.datanode.fsdataset.volume.choosing.policy = 'org.apache.hadoop.hdfs.server.datanode.fsdataset.AvailableSpaceVolumeChoosingPolicy') => (dfs.datanode.available-space-volume-choosing-policy.balanced-space-preference-fraction != null)},control
15,yarn.resourcemanager.configuration.provider-class,yarn.resourcemanager.configuration.file-system-based-store,{(yarn.resourcemanager.configuration.provider-class = 'org.apache.hadoop.yarn.FileSystemBasedConfigurationProvider') => (yarn.resourcemanager.configuration.file-system-based-store = ANY)},overwrite
16,yarn.nodemanager.node-labels.provider,yarn.nodemanager.node-labels.provider.fetch-interval-ms,"{(yarn.nodemanager.node-labels.provider in {""config"", ""Script""}) => (yarn.nodemanager.node-labels.provider.fetch-interval-ms > 0)}",value
17,yarn.scheduler.configuration.store.class,yarn.scheduler.configuration.store.max-logs,"{(yarn.scheduler.configuration.store.class in {""leveldb"", ""zk""}) => (yarn.scheduler.configuration.store.max-logs > 0)}",value
18,yarn.scheduler.configuration.store.class,yarn.scheduler.configuration.leveldb-store.path,"{(yarn.scheduler.configuration.store.class = ""leveldb"") => (yarn.scheduler.configuration.leveldb-store.path != null)}",control
19,yarn.resourcemanager.scheduler.monitor.enable,yarn.resourcemanager.scheduler.monitor.policies,{(yarn.resourcemanager.scheduler.monitor.enable = true) => (yarn.resourcemanager.scheduler.monitor.policies != null)},control
20,dfs.namenode.lifeline.rpc-address,dfs.namenode.lifeline.handler.count,{(dfs.namenode.lifeline.rpc-address != null) => (dfs.namenode.lifeline.handler.count >= 0)},value
21,yarn.nodemanager.resource.cpu-vcores,yarn.nodemanager.resource.pcores-vcores-multiplier,{(yarn.nodemanager.resource.cpu-vcores = -1) && (yarn.nodemanager.resource.detect-hardware-capabilities = true) => (yarn.nodemanager.resource.cpu-vcores in {yarn.nodemanager.resource.pcores-vcores-multiplier * ANY})},value
22,yarn.nodemanager.node-labels.provider,yarn.nodemanager.node-labels.provider.fetch-timeout-ms,{(yarn.nodemanager.node-labels.provider = 'Script') => (yarn.nodemanager.node-labels.provider.fetch-timeout-ms > 0)},value
23,yarn.nodemanager.resource.memory-mb,yarn.nodemanager.resource.system-reserved-memory-mb,{(yarn.nodemanager.resource.detect-hardware-capabilities = true) && (yarn.nodemanager.resource.memory-mb = -1) => (yarn.nodemanager.resource.system-reserved-memory-mb >= 0)},value
24,yarn.nodemanager.node-labels.provider,yarn.nodemanager.node-labels.provider.configured-node-partition,{(yarn.nodemanager.node-labels.provider = 'config') => (yarn.nodemanager.node-labels.provider.configured-node-partition != null)},control
25,hadoop.security.group.mapping.ldap.ssl.keystore.password,hadoop.security.group.mapping.ldap.ssl.keystore.password.file,{(hadoop.security.group.mapping.ldap.ssl.keystore.password = null) => (hadoop.security.group.mapping.ldap.ssl.keystore.password.file != null)},default
26,hbase.offpeak.start.hour,hbase.hstore.compaction.ratio.offpeak,{(hbase.offpeak.start.hour != null) => (hbase.hstore.compaction.ratio.offpeak != null)},control
27,hbase.offpeak.end.hour,hbase.hstore.compaction.ratio.offpeak,{(hbase.offpeak.end.hour != null) => (hbase.offpeak.start.hour != null) && (hbase.hstore.compaction.ratio.offpeak != 'ANY')},control
28,yarn.scheduler.configuration.store.class,yarn.scheduler.configuration.leveldb-store.compaction-interval-secs,{(yarn.scheduler.configuration.store.class = 'leveldb') => (yarn.scheduler.configuration.leveldb-store.compaction-interval-secs in [1..default.MAX_VALUE])},value
29,dfs.namenode.lifeline.rpc-address,dfs.namenode.lifeline.handler.ratio,{(dfs.namenode.lifeline.rpc-address != null) => (dfs.namenode.lifeline.handler.ratio = ANY)},overwrite
