id,Parameter1,Parameter2,bnf,type
1,backup_manager,backup_object_number_per_notification,backup_manager != null => backup_object_number_per_notification > 0,behavior
2,backend_native_threads_pool_size,backend_stats_polling_interval,backend_native_threads_pool_size > 20 => backend_stats_polling_interval >= 3,behavior
3,backup_gcs_bucket,backup_gcs_storage_class,backup_gcs_bucket != null => backup_gcs_storage_class != null,behavior
4,glance_core_properties,glance_api_version,"glance_core_properties != null => glance_api_version in {{1, 2}}",behavior
5,keystone_catalog_info,glance_catalog_info,keystone_catalog_info != null => glance_catalog_info != null,behavior
6,nas_share_path,nas_secure_file_permissions,nas_share_path != null => nas_secure_file_permissions != null,behavior
7,backup_gcs_project_id,backup_gcs_enable_progress_timer,backup_gcs_project_id != null => backup_gcs_enable_progress_timer = ANY,behavior
8,glance_api_servers,glance_num_retries,glance_api_servers != null => glance_num_retries > 0,behavior
9,glance_num_retries,backup_gcs_num_retries,<glance_num_retries> = <Number> => <backup_gcs_num_retries> = <Number>,behavior
10,keystone_catalog_info,swift_catalog_info,keystone_catalog_info != null => swift_catalog_info != null,behavior
11,use_default_quota_class,until_refresh,use_default_quota_class = true => until_refresh != null,behavior
12,target_protocol,target_port,target_protocol = 'nvmet_rdma' => target_port = 4420,behavior
13,backup_gcs_project_id,backup_gcs_object_size,backup_gcs_project_id != null => backup_gcs_object_size = ANY,behavior
14,backup_swift_project,backup_swift_retry_attempts,backup_swift_project != null => backup_swift_retry_attempts != null,behavior
15,backup_mount_attempts,backup_mount_point_base,backup_mount_attempts > 0 => backup_mount_point_base != null,behavior
16,quota_gigabytes,quota_driver,quota_gigabytes != null => quota_driver != null,behavior
17,tcp_keepalive_interval,tcp_keepalive_count,tcp_keepalive_interval > 0 => tcp_keepalive_count > 0,behavior
18,nvmet_ns_id,nvmet_port_id,nvmet_ns_id != null => nvmet_port_id != null,behavior
19,volume_driver,volume_clear_size,volume_driver != null => volume_clear_size = ANY,behavior
20,nas_share_path,nas_secure_file_operations,nas_share_path != null => nas_secure_file_operations != null,behavior
21,backup_swift_project,backup_swift_container,backup_swift_project != null => backup_swift_container != null,behavior
22,chap_username,chap_password,chap_username != null => chap_password != null,behavior
23,auth_type,auth_section,"auth_type = ""keystone"" => auth_section in {{ ""keystone_authtoken"", ""keystone_auth"" }}",behavior
24,backup_swift_auth_version,backup_swift_object_size,backup_swift_auth_version != null => backup_swift_object_size > 0,behavior
25,max_over_subscription_ratio,thin_provisioning,max_over_subscription_ratio > 1 => thin_provisioning = true,behavior
26,default_group_type,storage_availability_zone,default_group_type != null => storage_availability_zone = ANY,behavior
