id,Parameter1,Parameter2,bnf,type
1,swift_store_key,swift_store_auth_address,swift_store_key != null => swift_store_auth_address != null,behavior
2,image_size_cap,default_store,image_size_cap > {{backend_limit}} => default_store != 'file',behavior
3,swift_store_config_file,swift_store_auth_version,"swift_store_config_file != null => swift_store_auth_version in {{1, 2, 3}}",behavior
4,auth_version,swift_store_auth_address,auth_version!=null => swift_store_auth_address=ANY,behavior
5,s3_store_large_object_chunk_size,s3_store_large_object_threshold,s3_store_large_object_chunk_size > 0 => s3_store_large_object_threshold > s3_store_large_object_chunk_size,behavior
6,log-config,log_use_syslog,log-config!=null => log_use_syslog=ANY,behavior
7,vmware_api_insecure,cinder_api_insecure,vmware_api_insecure = ANY => cinder_api_insecure = ANY,behavior
8,auth_version,swift_store_user,auth_version!=null => swift_store_user=ANY,behavior
9,auth_version,swift_store_ssl_compression,auth_version!=null => swift_store_ssl_compression=ANY,behavior
10,vmware_api_insecure,swift_store_auth_insecure,vmware_api_insecure = ANY => swift_store_auth_insecure = ANY,behavior
11,rbd_store_pool,rbd_store_user,rbd_store_pool != null => rbd_store_user != null,behavior
12,auth_version,swift_store_region,auth_version!=null => swift_store_region=ANY,behavior
13,swift_store_endpoint_type,swift_store_auth_address,"swift_store_endpoint_type != ""internalURL"" => swift_store_auth_address != null",behavior
14,filesystem_store_chunk_size,filesystem_store_file_perm,filesystem_store_chunk_size > default => filesystem_store_file_perm = 0644,behavior
15,public_endpoint,http_keepalive,public_endpoint=true => http_keepalive=true,behavior
16,s3_store_secret_key,s3_store_host,<Variable> = 's3_store_secret_key' => <Variable> = 's3_store_host',behavior
17,auth_version,swift_store_create_container_on_put,auth_version!=null => swift_store_create_container_on_put=ANY,behavior
18,s3_store_access_key,s3_store_secret_key,s3_store_access_key != null => s3_store_secret_key != null,behavior
19,filesystem_store_datadirs,filesystem_store_metadata_file,filesystem_store_datadirs != null => filesystem_store_metadata_file != null,behavior
20,swift_store_config_file,swift_store_region,swift_store_config_file != null => swift_store_region != null,behavior
21,auth_version,swift_store_large_object_chunk_size,auth_version!=null => swift_store_large_object_chunk_size=ANY,behavior
22,filesystem_store_datadir,log_dir,filesystem_store_datadir != null => log_dir = ANY,behavior
23,swift_store_config_file,default_swift_reference,swift_store_config_file != null => default_swift_reference != null,behavior
24,cinder_store_auth_address,cinder_store_user_domain_name,cinder_store_auth_address != null => cinder_store_user_domain_name != null,control
25,vmware_api_insecure,vmware_server_host,vmware_api_insecure = true => vmware_server_host != null,control
26,enabled_backends,filesystem_store_datadir,"enabled_backends in {{ ""filesystem"" }} => filesystem_store_datadir != null",control
27,swift_store_user,swift_store_key,swift_store_user != null => swift_store_key != null,control
28,image_cache_driver,image_cache_dir,image_cache_driver != null => image_cache_dir != null,control
29,debug,log_file,debug=true => log_file!=null,control
30,cinder_store_user_name,cinder_store_user_domain_name,cinder_store_user_name != null => cinder_store_user_domain_name != null,control
31,swift_store_multi_tenant,swift_store_multiple_containers_seed,swift_store_multi_tenant = false => swift_store_multiple_containers_seed = 0,control
32,image_cache_driver,image_cache_size,"image_cache_driver in {'file', 'xfs'} => image_cache_size > 0",control
33,debug,trace_sqlalchemy,debug=true => trace_sqlalchemy=true,control
34,public_endpoint,bind_host,public_endpoint=true => bind_host!=null,control
35,debug,log_dir,debug=true => log_dir!=null,control
36,enabled,debug,enabled=true => debug=ANY,control
37,enabled,enabled_backends,enabled=true => enabled_backends!=null,control
38,cinder_store_auth_address,cinder_store_user_name,cinder_store_auth_address != null => cinder_store_user_name != null,control
39,enabled_backends,rbd_store_pool,"enabled_backends in {{ ""rbd"" }} => rbd_store_pool != null",control
40,enabled_backends,swift_store_user,"enabled_backends in {{ ""swift"" }} => swift_store_user != null",control
41,enabled,public_endpoint,enabled=true => public_endpoint!=null,control
42,vmware_datastores,r_password,vmware_datastores != null => r_password != null,control
43,enabled,log_use_syslog,enabled=true => log_use_syslog=ANY,control
44,swift_store_endpoint_type,swift_store_auth_insecure,"swift_store_endpoint_type = ""adminURL"" => swift_store_auth_insecure = false",control
45,enabled_backends,swift_store_key,"enabled_backends in {{ ""swift"" }} => swift_store_key != null",control
46,enabled,image_cache_driver,enabled=true => image_cache_driver!=null,control
47,vmware_server_username,vmware_server_password,vmware_server_username != null => vmware_server_password != null,control
48,enabled,image_cache_max_size,enabled=true => image_cache_max_size!=null,control
49,enabled_backends,swift_store_auth_address,"enabled_backends in {{ ""swift"" }} => swift_store_auth_address != null",control
50,debug,verbose,debug = true => verbose = true,control
51,vmware_api_insecure,vmware_server_host,vmware_api_insecure = true => vmware_server_host != null,control
52,public_endpoint,bind_port,public_endpoint=true => bind_port!=null,control
53,enabled,verbose,enabled=true => verbose=ANY,control
54,cinder_store_project_name,cinder_store_user_name,cinder_store_project_name != null => cinder_store_user_name != null,control
55,image_cache_dir,image_cache_sqlite_db,image_cache_sqlite_db = ANY => image_cache_dir = image_cache_sqlite_db,default
56,auth_version,swift_store_auth_version,auth_version=ANY => swift_store_auth_version=auth_version,default
57,auth_address,swift_store_auth_address,auth_address=ANY => swift_store_auth_address=auth_address,default
