id,Parameter1,Parameter2,bnf,type
1,hbase.mob.file.cache.size,hbase.mob.cache.evict.period,hbase.mob.file.cache.size > 0 => hbase.mob.cache.evict.period > 0,behavior
2,hbase.regionserver.handler.abort.on.error.percent,hbase.regionserver.max.fails.percent,hbase.regionserver.handler.abort.on.error.percent > 0 => hbase.regionserver.max.fails.percent > 0,behavior
3,hbase.zookeeper.peerport,hbase.zookeeper.leaderport,hbase.zookeeper.peerport != null => hbase.zookeeper.leaderport != hbase.zookeeper.peerport,control
4,hbase.ipc.server.callqueue.handler.factor,hbase.regionserver.handler.count,hbase.ipc.server.callqueue.handler.factor > 1 => hbase.regionserver.handler.count > hbase.regionserver.handler.count * hbase.ipc.server.callqueue.handler.factor,control
5,hbase.master.infoserver.redirect,hbase.master.info.port,hbase.master.infoserver.redirect = true => hbase.master.info.port != null,control
6,hbase.coprocessor.enabled,hbase.coprocessor.region.classes,hbase.coprocessor.enabled = false => hbase.coprocessor.region.classes = null,control
7,hbase.coordinated.state.manager.class,hbase.zookeeper.quorum,hbase.cluster.distributed = true => hbase.zookeeper.quorum != null,control
8,hbase.offpeak.start.hour,hbase.hstore.time.to.purge.deletes,hbase.offpeak.start.hour != null => hbase.hstore.time.to.purge.deletes != null,control
9,hbase.client.perserver.requests.threshold,hbase.regionserver.handler.count,hbase.client.perserver.requests.threshold > {{X}} => hbase.regionserver.handler.count > {{Y}},control
10,hbase.hstore.compaction.ratio,hbase.hstore.compaction.min,hbase.hstore.compaction.ratio > 1.0 => hbase.hstore.compaction.min > 1,control
11,hbase.defaults.for.version.skip,hbase.defaults.for.version,hbase.defaults.for.version.skip = true => hbase.defaults.for.version = ANY,control
12,hbase.master.normalizer.class,hbase.normalization.period,hbase.master.normalizer.class != null => hbase.normalization.period > 0,control
13,hbase.rest.csrf.enabled,hbase.rest-csrf.browser-useragents-regex,hbase.rest.csrf.enabled = true => hbase.rest-csrf.browser-useragents-regex != null,control
14,hbase.rootdir,hbase.zookeeper.quorum,hbase.cluster.distributed = true => hbase.zookeeper.quorum != null,control
15,hbase.rest.readonly,hbase.rest.threads.max,hbase.rest.readonly = true => hbase.rest.threads.max > 10,control
16,hbase.status.publisher.class,hbase.status.published,hbase.status.publisher.class != null => hbase.status.published = true,control
17,hbase.security.authentication,hbase.ipc.client.fallback-to-simple-auth-allowed,hbase.security.authentication != null => hbase.ipc.client.fallback-to-simple-auth-allowed != null,control
18,hbase.master.kerberos.principal,hbase.security.authentication,"hbase.security.authentication = ""kerberos"" => hbase.master.kerberos.principal != ""ANY""",control
19,hbase.regionserver.keytab.file,hbase.security.authentication,hbase.security.authentication = kerberos => hbase.regionserver.keytab.file != null,control
20,hbase.hstore.flusher.count,hbase.hregion.memstore.flush.size,hbase.hstore.flusher.count > 1 => hbase.hregion.memstore.flush.size > 134217728,control
21,hbase.replication.source.maxthreads,hbase.replication.source.ratio,hbase.replication.source.maxthreads > 1 => hbase.replication.source.ratio > 0.1,control
22,hbase.zookeeper.property.clientPort,hbase.regionserver.port,hbase.zookeeper.property.clientPort = X => hbase.regionserver.port != X,control
23,hbase.hstore.bytes.per.checksum,hbase.hstore.blockingStoreFiles,hbase.hstore.bytes.per.checksum > 0 => hbase.hstore.blockingStoreFiles > 0,control
24,hbase.region.replica.replication.enabled,hbase.replication,hbase.region.replica.replication.enabled = true => hbase.replication = true,control
