id,Parameter1,Parameter2,bnf,type
896,dfs.client.socket-timeout,dfs.datanode.socket.write.timeout,dfs.client.socket-timeout > 0 => dfs.datanode.socket.write.timeout = dfs.client.socket-timeout + 1000,behavior
660,dfs.data.transfer.saslproperties.resolver.class,dfs.encrypt.data.transfer,dfs.data.transfer.saslproperties.resolver.class != null => dfs.encrypt.data.transfer = true,behavior
928,dfs.datanode.fsdataset.factory,dfs.datanode.data.dir,dfs.datanode.fsdataset.factory = ANY => dfs.datanode.data.dir != null,behavior
768,dfs.namenode.lock.detailed-metrics.enabled,dfs.namenode.lock.metrics.percentiles,dfs.namenode.lock.detailed-metrics.enabled = true => dfs.namenode.lock.metrics.percentiles != null,behavior
360,dfs.encrypt.data.transfer.cipher.key.bitlength,dfs.encrypt.data.transfer.algorithm,"dfs.encrypt.data.transfer.cipher.key.bitlength in {128, 192, 256} => dfs.encrypt.data.transfer.algorithm != null",behavior
604,dfs.datanode.use.datanode.hostname,dfs.datanode.http.address,dfs.datanode.use.datanode.hostname = true => dfs.datanode.http.address = hostname:50075,behavior
890,dfs.client.retry.policy.spec,dfs.client.retry.max.attempts,dfs.client.retry.policy.spec != null => dfs.client.retry.max.attempts > 0,behavior
1172,dfs.encrypt.data.transfer.algorithm,dfs.data.transfer.protection,"dfs.encrypt.data.transfer.algorithm != null => dfs.data.transfer.protection = ""privacy""",behavior
393,dfs.namenode.fs-limits.max-blocks-per-file,dfs.replication,dfs.namenode.fs-limits.max-blocks-per-file > 1 => dfs.replication in {{1..dfs.namenode.fs-limits.max-blocks-per-file}},behavior
758,dfs.datanode.slow.io.warning.threshold.ms,dfs.datanode.max.locked.memory,dfs.datanode.slow.io.warning.threshold.ms > 1000 => dfs.datanode.max.locked.memory > 102400,behavior
829,dfs.namenode.hosts.provider.classname,dfs.ha.automatic-failover.enabled,dfs.namenode.hosts.provider.classname != default => dfs.ha.automatic-failover.enabled = true,behavior
889,dfs.client.retry.policy.enabled,dfs.client.retry.sleep.base,dfs.client.retry.policy.enabled = true => dfs.client.retry.sleep.base > 0,behavior
369,dfs.namenode.https-address,dfs.https.need.client.auth,dfs.namenode.https-address != null => dfs.https.need.client.auth = ANY,behavior
743,dfs.client.read.shortcircuit.streams.cache.size,dfs.domain.socket.path,dfs.client.read.shortcircuit.streams.cache.size != null => dfs.domain.socket.path != null,behavior
736,dfs.client.read.shortcircuit,dfs.datanode.hdfs-blocks-metadata.enabled,dfs.client.read.shortcircuit = true => dfs.datanode.hdfs-blocks-metadata.enabled = true,behavior
1005,dfs.namenode.snapshot.skip.capture.accesstime-only-change,dfs.namenode.snapshot.snapshotdiff.skip.access-time-only-change,dfs.namenode.snapshot.skip.capture.accesstime-only-change = true => dfs.namenode.snapshot.snapshotdiff.skip.access-time-only-change = true,behavior
599,dfs.ha.automatic-failover.enabled,dfs.ha.zkfc.quorum-port,dfs.ha.automatic-failover.enabled = true => dfs.ha.zkfc.quorum-port in {{ 2181..65535 }},behavior
981,dfs.namenode.edits.asynclogging,dfs.namenode.edits.dir,dfs.namenode.edits.asynclogging = true => dfs.namenode.edits.dir != null,behavior
866,dfs.client.failover.random.order,dfs.client.retry.max.attempts,dfs.client.failover.random.order = true => dfs.client.retry.max.attempts > 3,behavior
946,dfs.datanode.transferTo.allowed,dfs.datanode.sync.behind.writes,dfs.datanode.transferTo.allowed = true => dfs.datanode.sync.behind.writes = true,behavior
1066,dfs.balancer.address,dfs.namenode.rpc-address,dfs.balancer.address != null => dfs.namenode.rpc-address != null,behavior
662,dfs.datanode.hdfs-blocks-metadata.enabled,dfs.datanode.max.locked.memory,dfs.datanode.hdfs-blocks-metadata.enabled = true => dfs.datanode.max.locked.memory > 0,behavior
703,dfs.client.mmap.enabled,dfs.client.read.shortcircuit,dfs.client.mmap.enabled = true => dfs.client.read.shortcircuit = true,behavior
784,dfs.storage.policy.enabled,dfs.datanode.data.dir,dfs.storage.policy.enabled = true => dfs.datanode.data.dir in {{ANY}},behavior
546,dfs.image.transfer.chunksize,dfs.datanode.max.transfer.threads,dfs.image.transfer.chunksize > default => dfs.datanode.max.transfer.threads > default,behavior
284,dfs.permissions.superusergroup,dfs.cluster.administrators,dfs.permissions.superusergroup != null => dfs.cluster.administrators != null,behavior
633,dfs.web.authentication.kerberos.principal,dfs.web.authentication.kerberos.keytab,dfs.web.authentication.kerberos.principal != null => dfs.web.authentication.kerberos.keytab != null,behavior
570,dfs.client.failover.connection.retries,dfs.client.failover.sleep.base.millis,dfs.client.failover.connection.retries > 0 => dfs.client.failover.sleep.base.millis > 0,behavior
472,dfs.hosts.exclude,dfs.namenode.hosts.provider.classname,dfs.hosts.exclude != null => dfs.namenode.hosts.provider.classname = org.apache.hadoop.hdfs.server.blockmanagement.CombinedHostFileManager,behavior
1436,dfs.mover.movedWinWidth,dfs.mover.moverThreads,dfs.mover.moverThreads > 0 => dfs.mover.movedWinWidth > 0,behavior
382,dfs.namenode.path.based.cache.refresh.interval.ms,dfs.namenode.path.based.cache.retry.interval.ms,dfs.namenode.path.based.cache.refresh.interval.ms = 30000 => dfs.namenode.path.based.cache.retry.interval.ms = 30000,behavior
609,dfs.namenode.kerberos.principal,dfs.namenode.keytab.file,dfs.namenode.kerberos.principal != null => dfs.namenode.keytab.file != null,behavior
611,dfs.namenode.kerberos.principal,hadoop.security.authorization,dfs.namenode.kerberos.principal != null => hadoop.security.authorization = true,behavior
709,dfs.client.mmap.retry.timeout.ms,dfs.client.mmap.retry.count,dfs.client.mmap.retry.timeout.ms > 0 => dfs.client.mmap.retry.count > 0,behavior
683,dfs.journalnode.https-bind-host,dfs.journalnode.https-address,dfs.journalnode.https-bind-host != null => dfs.journalnode.https-address != null,behavior
460,dfs.namenode.safemode.threshold-pct,dfs.namenode.safemode.extension,dfs.namenode.safemode.threshold-pct > 0 => dfs.namenode.safemode.extension > 0,behavior
930,dfs.datanode.fsdataset.volume.choosing.policy,dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold,dfs.datanode.fsdataset.volume.choosing.policy = 'available-space' => dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold > 0,behavior
663,dfs.client.file-block-storage-locations.num-threads,dfs.datanode.handler.count,dfs.client.file-block-storage-locations.num-threads > default => dfs.datanode.handler.count > default,behavior
556,dfs.datanode.readahead.bytes,dfs.datanode.handler.count,dfs.datanode.readahead.bytes > default => dfs.datanode.handler.count > default,behavior
919,dfs.client.write.max-packets-in-flight,dfs.client.socket-timeout,dfs.client.write.max-packets-in-flight > 100 => dfs.client.socket-timeout > 60000,behavior
