id,Parameter1,Parameter2,bnf,type
1,mapreduce.reduce.shuffle.parallelcopies,mapreduce.reduce.shuffle.memory.limit.percent,mapreduce.reduce.shuffle.parallelcopies > 5 => mapreduce.reduce.shuffle.memory.limit.percent > 0.25,behavior
2,mapreduce.ifile.readahead.bytes,io.file.buffer.size,mapreduce.ifile.readahead.bytes > 0 => mapreduce.ifile.readahead.bytes <= io.file.buffer.size,behavior
3,mapreduce.job.reduce.shuffle.consumer.plugin.class,mapreduce.task.io.sort.factor,mapreduce.job.reduce.shuffle.consumer.plugin.class != null => mapreduce.task.io.sort.factor > 1,behavior
4,mapreduce.shuffle.max.connections,mapreduce.shuffle.parallel.copies,mapreduce.shuffle.max.connections > 100 => mapreduce.shuffle.parallel.copies > 5,behavior
5,mapreduce.shuffle.connection-keep-alive.enable,mapreduce.shuffle.max.threads,mapreduce.shuffle.connection-keep-alive.enable = true => mapreduce.shuffle.max.threads > 0,behavior
6,mapreduce.task.files.preserve.failedtasks,mapreduce.task.files.preserve.filepattern,mapreduce.task.files.preserve.failedtasks = true => mapreduce.task.files.preserve.filepattern != null,behavior
7,mapreduce.job.maps,mapreduce.tasktracker.map.tasks.maximum,mapreduce.job.maps > 1 => mapreduce.tasktracker.map.tasks.maximum > [default.MIN_value .. default.MAX_value],control
8,mapreduce.shuffle.ssl.file.buffer.size,mapreduce.shuffle.ssl.enabled,mapreduce.shuffle.ssl.enabled = true => mapreduce.shuffle.ssl.file.buffer.size > 0,control
9,mapreduce.task.profile.reduces,mapreduce.job.reduces,mapreduce.job.reduces = ANY => mapreduce.task.profile.reduces = ANY,control
10,mapreduce.framework.name,mapreduce.cluster.temp.dir,"mapreduce.framework.name = ""local"" => mapreduce.cluster.temp.dir = ""${hadoop.tmp.dir}/mapred/temp""",control
11,mapreduce.jobhistory.cleaner.enable,mapreduce.jobhistory.cleaner.interval-ms,mapreduce.jobhistory.cleaner.enable = true => mapreduce.jobhistory.cleaner.interval-ms > 0,control
12,mapreduce.map.speculative,mapreduce.job.speculative.speculative-cap-running-tasks,mapreduce.map.speculative = true => mapreduce.job.speculative.speculative-cap-running-tasks > 0,control
13,mapreduce.map.memory.mb,yarn.nodemanager.resource.memory-mb,mapreduce.map.memory.mb > 0 => yarn.nodemanager.resource.memory-mb >= mapreduce.map.memory.mb * mapreduce.tasktracker.map.tasks.maximum,control
14,mapreduce.shuffle.connection-keep-alive.enable,mapreduce.shuffle.connection-keep-alive.timeout,mapreduce.shuffle.connection-keep-alive.enable = true => mapreduce.shuffle.connection-keep-alive.timeout != null,control
15,mapreduce.framework.name,mapreduce.shuffle.port,"mapreduce.framework.name = ""yarn"" => mapreduce.shuffle.port = 13562",control
16,mapreduce.jobhistory.recovery.enable,mapreduce.jobhistory.recovery.store.class,mapreduce.jobhistory.recovery.enable = true => mapreduce.jobhistory.recovery.store.class != null,control
17,mapreduce.framework.name,yarn.app.mapreduce.am.staging-dir,"mapreduce.framework.name = ""yarn"" => yarn.app.mapreduce.am.staging-dir = ""/user/${user.name}/.staging""",control
18,mapreduce.reduce.shuffle.input.buffer.percent,mapreduce.reduce.java.opts,mapreduce.reduce.shuffle.input.buffer.percent > 0.7 => mapreduce.reduce.java.opts > -Xmx2048m,control
19,mapreduce.job.maps,mapreduce.input.fileinputformat.split.maxsize,mapreduce.job.maps > 1 => mapreduce.input.fileinputformat.split.maxsize > [default.MIN_value .. default.MAX_value],control
