id,Parameter1,Parameter2,bnf,type
1,yarn.nodemanager.log-aggregation.policy.parameters,yarn.nodemanager.log-aggregation.enable,yarn.nodemanager.log-aggregation.enable = false => yarn.nodemanager.log-aggregation.policy.parameters = null,behavior
2,yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms,yarn.nodemanager.linux-container-executor.cgroups.strict-resource-usage,yarn.nodemanager.linux-container-executor.cgroups.strict-resource-usage = true => yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms in {{1000..10000}},behavior
3,yarn.nodemanager.localizer.cache.target-size-mb,yarn.nodemanager.localizer.fetch.thread-count,yarn.nodemanager.localizer.cache.target-size-mb > {{default}} => yarn.nodemanager.localizer.fetch.thread-count > {{default}},behavior
4,yarn.nodemanager.localizer.client.thread-count,yarn.nodemanager.localizer.fetch.thread-count,yarn.nodemanager.localizer.client.thread-count > 1 => yarn.nodemanager.localizer.fetch.thread-count > 1,behavior
5,yarn.resourcemanager.container.liveness-monitor.interval-ms,yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,yarn.resourcemanager.container.liveness-monitor.interval-ms != null => yarn.resourcemanager.rm.container-allocation.expiry-interval-ms != null,behavior
6,yarn.timeline-service.writer.class,yarn.timeline-service.reader.class,yarn.timeline-service.writer.class = org.apache.hadoop.yarn.server.timelineservice.storage.HBaseTimelineWriterImpl => yarn.timeline-service.reader.class = org.apache.hadoop.yarn.server.timelineservice.storage.HBaseTimelineReaderImpl,behavior
7,yarn.nodemanager.resource.count-logical-processors-as-cores,yarn.scheduler.maximum-allocation-vcores,yarn.nodemanager.resource.count-logical-processors-as-cores = true => yarn.scheduler.maximum-allocation-vcores > physical_core_count,behavior
8,yarn.app.mapreduce.am.job.client.port-range,yarn.app.mapreduce.am.webapp.port-range,"<Dependency> ::= <Condition> => <ConstraintItem>
<Condition> ::= yarn.app.mapreduce.am.job.client.port-range != null
<ConstraintItem> ::= yarn.app.mapreduce.am.webapp.port-range != null",behavior
9,yarn.resourcemanager.container.liveness-monitor.interval-ms,yarn.resourcemanager.nodemanagers.heartbeat-interval-ms,yarn.resourcemanager.container.liveness-monitor.interval-ms != null => yarn.resourcemanager.nodemanagers.heartbeat-interval-ms != null,behavior
10,yarn.nodemanager.container-diagnostics-maximum-size,yarn.log-aggregation.retain-seconds,yarn.nodemanager.container-diagnostics-maximum-size > default => yarn.log-aggregation.retain-seconds > default,behavior
11,yarn.resourcemanager.proxy-user-privileges.enabled,hadoop.proxyuser.<user>.groups,yarn.resourcemanager.proxy-user-privileges.enabled = true => hadoop.proxyuser.<user>.groups != null,behavior
12,yarn.resourcemanager.ha.automatic-failover.zk-base-path,yarn.resourcemanager.zk-address,yarn.resourcemanager.ha.automatic-failover.zk-base-path != null => yarn.resourcemanager.zk-address != null,behavior
13,yarn.sharedcache.webapp.address,yarn.sharedcache.enabled,yarn.sharedcache.enabled = true => yarn.sharedcache.webapp.address != null,behavior
