id,Parameter1,Parameter2,bnf,type
1,backup_swift_project,backup_swift_block_size,backup_swift_project != null => backup_swift_block_size != null,behavior
2,backup_gcs_project_id,backup_gcs_object_size,backup_gcs_project_id != null => backup_gcs_object_size = ANY,behavior
3,zoning_mode,storage_protocol,zoning_mode != null => storage_protocol != null,behavior
4,backup_gcs_project_id,backup_gcs_writer_chunk_size,backup_gcs_project_id != null => backup_gcs_writer_chunk_size = ANY,behavior
5,volume_dd_blocksize,volume_copy_bps_limit,volume_copy_bps_limit = 0 => volume_dd_blocksize = ANY,behavior
6,extra_capabilities,volume_api_class,"<Dependency> ::= <Condition> => <ConstraintItem>
<Condition> ::= extra_capabilities != null
<ConstraintItem> ::= volume_api_class = ANY",behavior
7,swift_catalog_info,keystone_catalog_info,swift_catalog_info != null => keystone_catalog_info != null,behavior
8,glance_catalog_info,glance_api_version,"glance_catalog_info != null => glance_api_version in {{1, 2}}",behavior
9,default_volume_type,enabled_backends,"default_volume_type != null => enabled_backends in {{ backend1, backend2, ... }}",behavior
10,backend_availability_zone,default_availability_zone,backend_availability_zone != null => default_availability_zone != null,behavior
11,reservation_expire,until_refresh,reservation_expire != null => until_refresh != null,behavior
12,driver_client_cert,driver_client_cert_key,driver_client_cert!=null => driver_client_cert_key!=null,behavior
13,quota_backups,backup_gigabytes,quota_backups != null => backup_gigabytes != null,behavior
14,backup_swift_project,backup_swift_auth,backup_swift_project != null => backup_swift_auth != null,behavior
15,nas_share_path,nas_mount_options,nas_share_path != null => nas_mount_options != null,behavior
16,volume_driver,volumes_dir,volume_driver != null => volumes_dir = ANY,behavior
17,keystone_catalog_info,swift_catalog_info,keystone_catalog_info != null => swift_catalog_info != null,behavior
18,target_protocol,target_port,target_protocol = 'nvmet_rdma' => target_port = 4420,behavior
19,backup_swift_auth_version,backup_swift_object_size,backup_swift_auth_version != null => backup_swift_object_size > 0,behavior
20,nas_host,nas_share_path,nas_host != null => nas_share_path != null,behavior
21,storage_protocol,iscsi_helper,"storage_protocol = ""iSCSI"" => iscsi_helper in {""tgtadm"", ""lioadm"", ""iseradm""}",behavior
22,auth_section,auth_connection_timeout,"<Variable> = ""auth_section"" => <Variable> > 0",behavior
23,backup_swift_user,backup_swift_auth_url,<Dependency> ::= <backup_swift_user> != null => <backup_swift_auth_url> != null,behavior
24,storage_protocol,volume_driver,"storage_protocol = ""iSCSI"" => volume_driver = ""cinder.volume.drivers.lvm.LVMVolumeDriver""",behavior
25,backup_service_inithost_offload,backup_timer_interval,backup_service_inithost_offload = false => backup_timer_interval > 0,behavior
26,backup_swift_project,backup_swift_user_domain,backup_swift_project != null => backup_swift_user_domain != null,behavior
27,num_shell_tries,num_volume_device_scan_tries,num_shell_tries = ANY => num_volume_device_scan_tries = ANY,behavior
28,backend_native_threads_pool_size,backend_stats_polling_interval,backend_native_threads_pool_size > 20 => backend_stats_polling_interval >= 3,behavior
29,san_login,san_private_key,san_login != null => san_private_key != null,behavior
30,auth_section,auth_version,"<Variable> = ""auth_section"" => <Variable> = ""auth_version""",behavior
31,backup_manager,backup_compression_algorithm,"backup_manager = enabled => backup_compression_algorithm in {zlib, bzip2, zstd}",behavior
32,backup_manager,backup_driver_init_check_interval,backup_manager != null => backup_driver_init_check_interval > 0,behavior
33,volume_driver,volume_clear_size,volume_driver != null => volume_clear_size = ANY,behavior
34,backend_availability_zone,storage_availability_zone,backend_availability_zone != null => storage_availability_zone != null,behavior
35,per_volume_size_limit,volume_driver,per_volume_size_limit != null => volume_driver != null,behavior
36,scheduler_host_manager,scheduler_driver_init_wait_time,scheduler_host_manager = ANY => scheduler_driver_init_wait_time = scheduler_driver_init_wait_time,behavior
37,reservation_expire,until_refresh,reservation_expire > 0 => until_refresh < reservation_expire,behavior
38,auth_strategy,identity_uri,"auth_strategy = ""keystone"" => identity_uri != null",behavior
39,backup_manager,backup_use_temp_snapshot,backup_manager = enabled => backup_use_temp_snapshot = true,behavior
40,use_multipath_for_image_xfer,device_poll_interval,use_multipath_for_image_xfer = true => device_poll_interval < 5,behavior
41,quota_groups,use_default_quota_class,use_default_quota_class = true => quota_groups != null,behavior
42,volume_manager,volume_service_inithost_offload,volume_manager != null => volume_service_inithost_offload = ANY,behavior
