id,Parameter1,Parameter2,bnf,type
1,ssl.server.keystore.keypassword,ssl.server.keystore.location,ssl.server.keystore.keypassword != null => ssl.server.keystore.location != null,behavior
2,httpfs.buffer.size,dfs.https.client.https.socket.receive.buffer.size,httpfs.buffer.size > 65536 => dfs.https.client.https.socket.receive.buffer.size = httpfs.buffer.size,behavior
3,ipc.client.idlethreshold,ipc.client.connection.maxlifetime,ipc.client.idlethreshold > 0 => ipc.client.connection.maxlifetime > ipc.client.idlethreshold * 2,behavior
4,fs.s3a.multipart.size,fs.s3a.block.size,fs.s3a.multipart.size > fs.s3a.block.size => fs.s3a.block.size = fs.s3a.multipart.size,behavior
5,httpfs.buffer.size,dfs.https.client.https.socket.send.buffer.size,httpfs.buffer.size > 65536 => dfs.https.client.https.socket.send.buffer.size = httpfs.buffer.size,behavior
6,hadoop.registry.secure,hadoop.registry.kerberos.realm,"hadoop.registry.secure = ""true"" => hadoop.registry.kerberos.realm != ""null""",behavior
7,hadoop.tmp.dir,mapreduce.cluster.temp.dir,"hadoop.tmp.dir != null => mapreduce.cluster.temp.dir = hadoop.tmp.dir + ""/mapred""",behavior
8,io.mapfile.bloom.size,io.mapfile.bloom.error.rate,io.mapfile.bloom.error.rate < io.mapfile.bloom.size => io.mapfile.bloom.error.rate < io.mapfile.bloom.size,behavior
9,file.blocksize,memory.buffer_size,file.blocksize > 8192 => memory.buffer_size > file.blocksize * 2,behavior
10,hadoop.security.group.mapping.ldap.bind.user,hadoop.security.group.mapping.ldap.url,hadoop.security.group.mapping.ldap.bind.user != null => hadoop.security.group.mapping.ldap.url != null,behavior
11,hadoop.security.sensitive-config-keys,hadoop.security.authorization,hadoop.security.sensitive-config-keys != null => hadoop.security.authorization = true,behavior
12,hfile.block.index.cacheonwrite,hbase.hstore.compactionThreshold,hfile.block.index.cacheonwrite = true => hbase.hstore.compactionThreshold in {{ANY}},behavior
13,zookeeper.recovery.retry.maxsleeptime,hbase.zookeeper.property.tickTime,<Dependency> ::= <Variable> = <Singlevalue> => <Variable> = <Expression>,behavior
14,hadoop.security.group.mapping.ldap.posix.attr.uid.name,hadoop.security.group.mapping.ldap.url,hadoop.security.group.mapping.ldap.posix.attr.uid.name != null => hadoop.security.group.mapping.ldap.url != null,behavior
15,fs.s3a.max.total.tasks,fs.s3a.threads.max,fs.s3a.max.total.tasks > default => fs.s3a.threads.max > default,behavior
16,ssl.server.keystore.location,ssl.server.keystore.type,ssl.server.keystore.location != null => ssl.server.keystore.type = ANY,behavior
17,hadoop.security.groups.cache.secs,hadoop.security.groups.negative-cache.secs,hadoop.security.groups.cache.secs > 0 => hadoop.security.groups.negative-cache.secs > 0,behavior
18,zookeeper.recovery.retry.maxsleeptime,zookeeper.session.timeout,<Dependency> ::= <Variable> > <Singlevalue> => <Variable> > <Singlevalue>,behavior
19,ha.zookeeper.session-timeout.ms,ha.health.check.interval.ms,ha.zookeeper.session-timeout.ms > ha.health.check.interval.ms,behavior
20,hadoop.security.secure.random.impl,hadoop.security.random.device.file.path,hadoop.security.random.device.file.path != null => hadoop.security.secure.random.impl = ANY,behavior
21,fs.s3a.signing-algorithm,fs.s3a.aws.credentials.provider,fs.s3a.signing-algorithm != null => fs.s3a.aws.credentials.provider != null,behavior
22,fs.default.name,hadoop.tmp.dir,fs.default.name = ANY => hadoop.tmp.dir != null,behavior
23,mapred.child.java.opts,mapreduce.reduce.memory.mb,mapred.child.java.opts > X => mapreduce.reduce.memory.mb > X * 0.8,behavior
24,hadoop.security.group.mapping.ldap.search.filter.group,hadoop.security.group.mapping.ldap.base,hadoop.security.group.mapping.ldap.search.filter.group != null => hadoop.security.group.mapping.ldap.base != null,behavior
25,fs.adl.oauth2.client.id,fs.adl.oauth2.access.token.provider,fs.adl.oauth2.client.id != null => fs.adl.oauth2.access.token.provider != null,behavior
26,fs.s3a.s3guard.cli.prune.age,fs.s3a.s3guard.ddb.table,fs.s3a.s3guard.cli.prune.age != null => fs.s3a.s3guard.ddb.table != null,behavior
