id,Parameter1,Parameter2,bnf,type
1,s3_store_secret_key,s3_store_access_key,<Variable> = 's3_store_secret_key' => <Variable> = 's3_store_access_key',behavior
2,verbose,trace_sqlalchemy,verbose=true => trace_sqlalchemy=true,behavior
3,swift_store_multi_tenant,swift_store_container,swift_store_multi_tenant=true => swift_store_container in {{ String }},behavior
4,log-config,log_dir,log-config!=null => log_dir=ANY,behavior
5,swift_store_config_file,swift_store_auth_version,"swift_store_config_file != null => swift_store_auth_version in {{1, 2, 3}}",behavior
6,auth_version,swift_store_create_container_on_put,auth_version!=null => swift_store_create_container_on_put=ANY,behavior
7,enabled,public_endpoint,enabled=true => public_endpoint!=null,control
8,log_use_syslog,enabled_backends,log_use_syslog = true => enabled_backends != null,control
9,enabled_backends,filesystem_store_datadir,"enabled_backends in {{ ""filesystem"" }} => filesystem_store_datadir != null",control
10,enabled_backends,swift_store_user,"enabled_backends in {{ ""swift"" }} => swift_store_user != null",control
11,swift_store_create_container_on_put,swift_store_container,swift_store_create_container_on_put=true => swift_store_container!=null,control
12,swift_store_endpoint_type,swift_store_ssl_compression,"swift_store_endpoint_type = ""publicURL"" => swift_store_ssl_compression != null",control
13,enabled,enabled_backends,enabled=true => enabled_backends!=null,control
14,enabled_backends,filesystem_store_datadirs,"enabled_backends in {{ ""filesystem"" }} => filesystem_store_datadirs != null",control
15,enabled,log_file,enabled=true => log_file!=null,control
16,image_cache_driver,image_cache_max_size,image_cache_driver != null => image_cache_max_size != null,control
17,cinder_store_auth_address,cinder_store_project_name,cinder_store_auth_address != null => cinder_store_project_name != null,control
18,vmware_datastores,vmware_server_password,vmware_datastores != null => vmware_server_password != null,control
19,swift_store_user,swift_store_key,swift_store_user != null => swift_store_key != null,control
20,cinder_store_project_name,cinder_store_password,cinder_store_project_name != null => cinder_store_password != null,control
21,enabled_backends,rbd_store_pool,"enabled_backends in {{ ""rbd"" }} => rbd_store_pool != null",control
22,cinder_store_project_name,cinder_store_auth_address,cinder_store_project_name != null => cinder_store_auth_address != null,control
23,enabled_backends,vmware_server_host,"enabled_backends in {{ ""vmware"" }} => vmware_server_host != null",control
24,cinder_store_user_name,cinder_store_password,cinder_store_user_name != null => cinder_store_password != null,control
25,vmware_server_username,vmware_server_password,vmware_server_username != null => vmware_server_password != null,control
26,debug,verbose,debug = true => verbose = true,control
27,cinder_store_auth_address,cinder_store_user_name,cinder_store_auth_address != null => cinder_store_user_name != null,control
28,debug,log_file,debug=true => log_file!=null,control
29,cinder_store_user_name,cinder_store_password,cinder_store_user_name != null => cinder_store_password != null,control
30,swift_store_user,swift_store_auth_address,swift_store_user != null => swift_store_auth_address != null,control
31,cinder_store_auth_address,cinder_store_password,cinder_store_auth_address != null => cinder_store_password != null,control
32,auth_address,swift_store_auth_address,auth_address=ANY => swift_store_auth_address=auth_address,default
33,swift_store_large_object_size,swift_store_large_object_chunk_size,swift_store_large_object_size = ANY => swift_store_large_object_chunk_size = 200,default
34,image_cache_dir,image_cache_sqlite_db,image_cache_sqlite_db = ANY => image_cache_dir = image_cache_sqlite_db,default
35,auth_version,swift_store_auth_version,auth_version=ANY => swift_store_auth_version=auth_version,default
36,image_cache_dir,image_cache_sqlite_db,image_cache_sqlite_db = ANY => image_cache_dir = image_cache_sqlite_db,default
37,auth_address,cinder_store_auth_address,auth_address=ANY => cinder_store_auth_address=auth_address,default
38,os_region_name,cinder_os_region_name,os_region_name = ANY => cinder_os_region_name = os_region_name,default
39,log_dir,log_file,log_dir = null => log_file = ANY,default
40,auth_address,swift_store_auth_address,auth_address != null => swift_store_auth_address = ANY,overwrite
41,swift_store_large_object_size,swift_store_large_object_chunk_size,swift_store_large_object_size > swift_store_large_object_chunk_size => swift_store_large_object_chunk_size < swift_store_large_object_size,value
