id,Parameter1,Parameter2,bnf,type
1,hbase.regionserver.dns.nameserver,hbase.regionserver.dns.interface,hbase.regionserver.dns.nameserver != null => hbase.regionserver.dns.interface != null,behavior
2,hbase.mob.cache.evict.period,hbase.mob.cache.evict.remaining.ratio,hbase.mob.cache.evict.period > 300 => hbase.mob.cache.evict.remaining.ratio < 0.5,behavior
3,hbase.zookeeper.property.clientPort,zookeeper.session.timeout,zookeeper.session.timeout > 0 => hbase.zookeeper.property.clientPort != ANY,behavior
4,hbase.regionserver.optionalcacheflushinterval,hbase.hregion.memstore.flush.size,hbase.regionserver.optionalcacheflushinterval > 0 => hbase.hregion.memstore.flush.size > 0,behavior
5,hbase.ipc.client.fallback-to-simple-auth-allowed,hbase.ipc.server.fallback-to-simple-auth-allowed,hbase.ipc.client.fallback-to-simple-auth-allowed = false => hbase.ipc.server.fallback-to-simple-auth-allowed = false,behavior
6,hbase.master.procedurewalcleaner.ttl,hbase.master.logcleaner.ttl,hbase.master.procedurewalcleaner.ttl > 0 => hbase.master.logcleaner.ttl > 0,behavior
7,hbase.regionserver.msginterval,hbase.regionserver.lease.period,hbase.regionserver.msginterval > 1000 => hbase.regionserver.lease.period > 60000,behavior
8,hbase.coprocessor.master.classes,hbase.coprocessor.region.classes,hbase.coprocessor.master.classes != null => hbase.coprocessor.region.classes != null,behavior
9,hbase.client.retries.number,hbase.client.scanner.timeout.period,hbase.client.retries.number > 5 => hbase.client.scanner.timeout.period > 60000,behavior
10,hbase.bulkload.retries.number,hbase.regionserver.optionallogflushinterval,hbase.bulkload.retries.number > 0 => hbase.regionserver.optionallogflushinterval = ANY,behavior
11,hbase.hstore.time.to.purge.deletes,hbase.hstore.compactionThreshold,hbase.hstore.time.to.purge.deletes > 0 => hbase.hstore.compactionThreshold > 1,behavior
12,hbase.defaults.for.version.skip,hbase.dynamic.jars.dir,hbase.defaults.for.version.skip = true => hbase.dynamic.jars.dir != null,behavior
13,hbase.master.fileSplitTimeout,hbase.master.lease.thread.checkfrequency,hbase.master.fileSplitTimeout > 0 => hbase.master.lease.thread.checkfrequency < hbase.master.fileSplitTimeout,behavior
14,hbase.bucketcache.bucket.sizes,hbase.bucketcache.ioengine,"hbase.bucketcache.bucket.sizes != null => hbase.bucketcache.ioengine in {{""offheap"", ""file""}}",behavior
15,hbase.client.pause.cqtbe,hbase.rpc.timeout,hbase.client.pause.cqtbe > 1000 => hbase.rpc.timeout > hbase.client.pause.cqtbe * hbase.client.retries.number,behavior
16,hbase.regionserver.global.memstore.size,hfile.block.cache.size,hbase.regionserver.global.memstore.size > 0.3 => hfile.block.cache.size < 0.7,behavior
17,hbase.status.publisher.class,hbase.status.listener.class,"hbase.status.publisher.class = ""org.apache.hadoop.hbase.master.ClusterStatusPublisher$MulticastPublisher"" => hbase.status.listener.class = ""org.apache.hadoop.hbase.client.ClusterStatusListener$MulticastListener""",behavior
18,hbase.snapshot.master.timeout.millis,hbase.snapshot.region.timeout,hbase.snapshot.master.timeout.millis > 60000 => hbase.snapshot.region.timeout > 60000,behavior
19,hbase.master.logcleaner.plugins,hbase.hfile.cleaner.plugins,hbase.master.logcleaner.plugins != null => hbase.hfile.cleaner.plugins != null,behavior
20,hbase.master.normalizer.class,hbase.hregion.max.filesize,hbase.master.normalizer.class != null => hbase.hregion.max.filesize > [default.MIN_value .. default.MAX_value],behavior
21,hbase.lease.recovery.timeout,hbase.master.lease.recovery.timeout,hbase.lease.recovery.timeout > 0 => hbase.master.lease.recovery.timeout > hbase.lease.recovery.timeout,behavior
22,hbase.hstore.compaction.kv.max,hbase.hstore.compaction.max,hbase.hstore.compaction.kv.max > 0 => hbase.hstore.compaction.max > 1,behavior
23,hbase.thrift.maxQueuedRequests,hbase.thrift.maxTotalBufferSize,hbase.thrift.maxQueuedRequests > 100 => hbase.thrift.maxTotalBufferSize > 1048576,behavior
24,hbase.bucketcache.size,hbase.regionserver.global.memstore.size,hbase.bucketcache.size + hbase.regionserver.global.memstore.size < [0.8 * system memory],behavior
25,hbase.client.max.perregion.tasks,hbase.client.pause,hbase.client.max.perregion.tasks > default => hbase.client.pause < default,behavior
26,hbase.cluster.distributed,hbase.master.port,hbase.cluster.distributed = true => hbase.master.port = 60000,control
27,hbase.snapshot.enabled,hbase.snapshot.retention.min,hbase.snapshot.enabled = true => hbase.snapshot.retention.min >= 0,control
