id,Parameter1,Parameter2,bnf,type
1,dfs.qjournal.new-epoch.timeout.ms,dfs.journalnode.edit-cache-size.bytes,dfs.qjournal.new-epoch.timeout.ms > 30000 => dfs.journalnode.edit-cache-size.bytes > 1048576,behavior
2,dfs.namenode.max.objects,dfs.namenode.name.dir,dfs.namenode.max.objects > default => dfs.namenode.name.dir != null,behavior
3,dfs.client.read.shortcircuit,dfs.client.read.shortcircuit.skip.checksum,"dfs.client.read.shortcircuit = true => dfs.client.read.shortcircuit.skip.checksum in {true, false}",behavior
4,dfs.client.file-block-storage-locations.timeout.millis,dfs.client.read.timeout,dfs.client.file-block-storage-locations.timeout.millis > 60000 => dfs.client.read.timeout > dfs.client.file-block-storage-locations.timeout.millis * 2,behavior
5,dfs.image.transfer.timeout,dfs.namenode.handler.count,dfs.namenode.handler.count < 10 => dfs.image.transfer.timeout > 300,behavior
6,dfs.namenode.replication.max-streams-hard-limit,dfs.namenode.replication.work.multiplier.per.iteration,dfs.namenode.replication.work.multiplier.per.iteration > 1 => dfs.namenode.replication.max-streams-hard-limit > dfs.namenode.replication.max-streams,behavior
7,dfs.datanode.du.reserved.calculator,dfs.datanode.du.reserved,dfs.datanode.du.reserved.calculator = ANY => dfs.datanode.du.reserved = ANY,behavior
8,dfs.namenode.blocks.per.postponedblocks.rescan,dfs.namenode.replication.interval,dfs.namenode.blocks.per.postponedblocks.rescan > default => dfs.namenode.replication.interval > default,behavior
9,dfs.namenode.rpc-bind-host,dfs.namenode.servicerpc-bind-host,dfs.namenode.rpc-bind-host != null => dfs.namenode.servicerpc-bind-host != null,behavior
10,dfs.datanode.lifeline.interval.seconds,dfs.namenode.heartbeat.recheck-interval,dfs.datanode.lifeline.interval.seconds < dfs.namenode.heartbeat.recheck-interval => dfs.namenode.heartbeat.recheck-interval > dfs.datanode.lifeline.interval.seconds,behavior
11,dfs.namenode.rpc-address,dfs.namenode.servicerpc-address,dfs.namenode.rpc-address != null => dfs.namenode.servicerpc-address != null,behavior
12,dfs.https.server.keystore.resource,dfs.namenode.https-address,dfs.namenode.https-address != null => dfs.https.server.keystore.resource != null,behavior
13,dfs.datanode.balance.bandwidthPerSec,dfs.datanode.max.transfer.threads,dfs.datanode.balance.bandwidthPerSec > 0 => dfs.datanode.max.transfer.threads > 0,behavior
