id,Parameter1,Parameter2,bnf,type
1,mapreduce.framework.name,yarn.app.mapreduce.am.resource.mb,mapreduce.framework.name = 'yarn' => yarn.app.mapreduce.am.resource.mb > 0,behavior
2,mapreduce.reduce.merge.inmem.threshold,mapreduce.task.io.sort.mb,mapreduce.reduce.merge.inmem.threshold > 0 => mapreduce.task.io.sort.mb > mapreduce.reduce.merge.inmem.threshold,behavior
3,mapreduce.job.reduce.shuffle.consumer.plugin.class,mapreduce.job.reduce.shuffle.merge.percent,mapreduce.job.reduce.shuffle.consumer.plugin.class != null => mapreduce.job.reduce.shuffle.merge.percent in [0.0..1.0],behavior
4,mapreduce.reduce.skip.maxgroups,mapreduce.task.skip.max.attempts,mapreduce.reduce.skip.maxgroups > 0 => mapreduce.task.skip.max.attempts > mapreduce.task.skip.start.attempts,behavior
5,mapreduce.job.speculative.speculative-cap-running-tasks,mapreduce.job.speculative.slowtaskthreshold,mapreduce.job.speculative.slowtaskthreshold > 1.0 => mapreduce.job.speculative.speculative-cap-running-tasks > 0,behavior
6,mapreduce.jobhistory.cleaner.interval-ms,mapreduce.jobhistory.max-age-ms,<Dependency> ::= <Variable> > <valueExpression> => <ConstraintItem> <Variable> > <valueExpression>,behavior
7,mapreduce.reduce.shuffle.fetch.retry.enabled,mapreduce.reduce.shuffle.retry.enabled,mapreduce.reduce.shuffle.fetch.retry.enabled = true => mapreduce.reduce.shuffle.retry.enabled = true,behavior
8,mapreduce.client.progressmonitor.pollinterval,mapreduce.task.timeout,mapreduce.client.progressmonitor.pollinterval > 300000 => mapreduce.task.timeout > 600000,behavior
9,mapreduce.job.split.metainfo.maxsize,mapreduce.map.java.opts,"mapreduce.job.split.metainfo.maxsize > default => mapreduce.map.java.opts in {{-Xmx1024m, -Xmx2048m, -Xmx4096m}}",behavior
10,mapreduce.map.speculative,mapreduce.reduce.speculative,mapreduce.map.speculative = true => mapreduce.reduce.speculative = true,behavior
11,mapreduce.reduce.node-label-expression,mapreduce.job.reduce.speculative,mapreduce.reduce.node-label-expression != null => mapreduce.job.reduce.speculative = false,behavior
12,mapreduce.reduce.memory.mb,mapred.child.java.opts,"mapred.child.java.opts in { ""-Xmx"" + mapreduce.reduce.memory.mb + ""m"" } => mapreduce.reduce.memory.mb = ANY",behavior
13,mapreduce.map.log.level,mapreduce.map.output.compress,"mapreduce.map.log.level = ""DEBUG"" => mapreduce.map.output.compress = true",behavior
