id,Parameter1,Parameter2,bnf,type
1,yarn.app.mapreduce.am.command-opts,mapreduce.map.memory.mb,yarn.app.mapreduce.am.command-opts in {{ -Xmx* }} => mapreduce.map.memory.mb > [default.MIN_value .. default.MAX_value],behavior
2,yarn.resourcemanager.delegation.key.update-interval,yarn.resourcemanager.delegation.token.max-lifetime,yarn.resourcemanager.delegation.key.update-interval < yarn.resourcemanager.delegation.token.max-lifetime => yarn.resourcemanager.delegation.key.update-interval = [1..(yarn.resourcemanager.delegation.token.max-lifetime / 2)],behavior
3,yarn.resourcemanager.reservation-system.class,yarn.resourcemanager.scheduler.class,"yarn.resourcemanager.reservation-system.class != null => yarn.resourcemanager.scheduler.class in {{org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.CapacityScheduler, org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.FairScheduler}}",behavior
4,yarn.app.mapreduce.shuffle.log.backups,yarn.app.mapreduce.shuffle.port,yarn.app.mapreduce.shuffle.log.backups > 1 => yarn.app.mapreduce.shuffle.port in {{10000..60000}},behavior
5,yarn.timeline-service.ttl-ms,yarn.timeline-service.leveldb.ttl-interval-ms,yarn.timeline-service.ttl-ms > 0 => yarn.timeline-service.leveldb.ttl-interval-ms < yarn.timeline-service.ttl-ms,behavior
6,yarn.resourcemanager.webapp.spnego-keytab-file,yarn.resourcemanager.webapp.spnego-principal,yarn.resourcemanager.webapp.spnego-keytab-file != null => yarn.resourcemanager.webapp.spnego-principal != null,behavior
7,yarn.nodemanager.resource-calculator.class,yarn.scheduler.minimum-allocation-vcores,yarn.nodemanager.resource-calculator.class = ANY => yarn.scheduler.minimum-allocation-vcores > 0,behavior
8,yarn.sharedcache.client-server.address,yarn.sharedcache.uploader.server.address,<Variable> = <Singlevalue> => <Variable> = <Singlevalue>,behavior
9,yarn.nodemanager.linux-container-executor.path,yarn.nodemanager.linux-container-executor.group,yarn.nodemanager.linux-container-executor.path != null => yarn.nodemanager.linux-container-executor.group != null,behavior
10,yarn.resourcemanager.scheduler.address,yarn.resourcemanager.admin.address,yarn.resourcemanager.scheduler.address != null => yarn.resourcemanager.admin.address != null,behavior
11,yarn.timeline-service.writer.class,yarn.timeline-service.reader.class,yarn.timeline-service.writer.class = org.apache.hadoop.yarn.server.timelineservice.storage.HBaseTimelineWriterImpl => yarn.timeline-service.reader.class = org.apache.hadoop.yarn.server.timelineservice.storage.HBaseTimelineReaderImpl,behavior
12,yarn.timeline-service.version,yarn.timeline-service.webapp.address,yarn.timeline-service.version = 2 => yarn.timeline-service.webapp.address = ${yarn.timeline-service.hostname}:8188,behavior
13,yarn.resourcemanager.webapp.spnego-keytab-file,hadoop.security.authentication,"yarn.resourcemanager.webapp.spnego-keytab-file != null => hadoop.security.authentication = ""kerberos""",behavior
14,yarn.nodemanager.resourcemanager.connect.max-wait.ms,yarn.nodemanager.resourcemanager.connect.retry-interval.ms,yarn.nodemanager.resourcemanager.connect.max-wait.ms > 0 => yarn.nodemanager.resourcemanager.connect.retry-interval.ms < yarn.nodemanager.resourcemanager.connect.max-wait.ms,behavior
15,yarn.timeline-service.leveldb-timeline-store.read-cache-size,yarn.timeline-service.leveldb-timeline-store.start-time-read-cache-size,<Dependency> ::= <Condition> => <ConstraintItem>,behavior
