id,Parameter1,Parameter2,bnf,type
1,hbase.hregion.preclose.flush.size,hbase.hstore.blockingStoreFiles,hbase.hregion.preclose.flush.size > ANY => hbase.hstore.blockingStoreFiles > ANY,behavior
2,hbase.zookeeper.property.maxClientCnxns,hbase.zookeeper.property.syncLimit,hbase.zookeeper.property.maxClientCnxns > 100 => hbase.zookeeper.property.syncLimit > 5,behavior
3,hbase.zookeeper.property.dataDir,hbase.cluster.distributed,hbase.cluster.distributed = true => hbase.zookeeper.property.dataDir != null,control
4,hbase.rest.csrf.enabled,hbase.rest-csrf.browser-useragents-regex,hbase.rest.csrf.enabled = true => hbase.rest-csrf.browser-useragents-regex != null,control
5,hbase.wal.dir.perms,hbase.regionserver.hlog.syncer.count,"hbase.wal.dir.perms in {{""700"", ""755"", ""777""}} => hbase.regionserver.hlog.syncer.count > 1",control
6,hbase.client.pause,hbase.rpc.timeout,hbase.client.pause > 100 => hbase.rpc.timeout > hbase.client.pause * hbase.client.retries.number,control
7,hbase.master.loadbalance.bytable,hbase.balancer.period,hbase.master.loadbalance.bytable = true => hbase.balancer.period < 300000,control
8,hbase.status.published,hbase.cluster.distributed,hbase.cluster.distributed = true => hbase.status.published = true,control
9,hbase.master.info.port,hbase.master.infoserver.redirect,hbase.master.infoserver.redirect = true => hbase.master.info.port = ANY,control
10,hbase.data.umask.enable,hbase.data.umask,hbase.data.umask.enable = true => hbase.data.umask != null,control
11,hbase.client.max.perserver.tasks,hbase.regionserver.max.queue.size,hbase.client.max.perserver.tasks > {{X}} => hbase.regionserver.max.queue.size > {{Y}},control
12,hbase.hstore.compaction.ratio.offpeak,hbase.offpeak.start.hour,hbase.hstore.compaction.ratio.offpeak != ANY => hbase.offpeak.start.hour != null,control
13,hbase.regionserver.hostname,hbase.regionserver.hostname.disable.master.reversedns,hbase.regionserver.hostname != null => hbase.regionserver.hostname.disable.master.reversedns = false,control
14,hbase.client.max.perregion.tasks,hbase.regionserver.handler.count,hbase.client.max.perregion.tasks > 0 => hbase.regionserver.handler.count > 0,control
15,hbase.client.perserver.requests.threshold,hbase.regionserver.handler.count,hbase.client.perserver.requests.threshold > {{X}} => hbase.regionserver.handler.count > {{Y}},control
16,hbase.regionserver.port,hbase.regionserver.info.port,hbase.regionserver.port = ANY => hbase.regionserver.info.port = hbase.regionserver.port + 10,default
17,hbase.dynamic.jars.dir,hbase.rootdir,hbase.rootdir = ANY => hbase.dynamic.jars.dir = ${hbase.rootdir}/lib,default
18,hbase.hstore.compaction.max.size,hbase.hstore.blockingStoreFiles,hbase.hstore.blockingStoreFiles = ANY => hbase.hstore.compaction.max.size > hbase.hstore.compaction.min.size,value
19,hbase.zookeeper.dns.interface,hbase.zookeeper.dns.nameserver,hbase.zookeeper.dns.nameserver = hbase.zookeeper.dns.interface,value
20,hbase.ipc.server.callqueue.read.ratio,hbase.regionserver.handler.count,hbase.regionserver.handler.count > 0 => hbase.ipc.server.callqueue.read.ratio = ANY,value
21,hbase.hregion.majorcompaction,hbase.hregion.majorcompaction.jitter,hbase.hregion.majorcompaction != 0 => hbase.hregion.majorcompaction.jitter = 0.50,value
