id,Parameter1,Parameter2,bnf,type
1000,dfs.namenode.replication.max-streams-hard-limit,dfs.namenode.replication.work.multiplier.per.iteration,dfs.namenode.replication.work.multiplier.per.iteration > 1 => dfs.namenode.replication.max-streams-hard-limit > dfs.namenode.replication.max-streams,behavior
650,dfs.encrypt.data.transfer.algorithm,hadoop.security.key.provider.path,dfs.encrypt.data.transfer.algorithm != null => hadoop.security.key.provider.path != null,behavior
341,dfs.namenode.kerberos.internal.spnego.principal,dfs.journalnode.kerberos.internal.spnego.principal,dfs.namenode.kerberos.internal.spnego.principal != null => dfs.journalnode.kerberos.internal.spnego.principal != null,behavior
1039,dfs.secondary.namenode.keytab.file,hadoop.security.auth_to_local,dfs.secondary.namenode.keytab.file != null => hadoop.security.auth_to_local != null,behavior
739,dfs.domain.socket.path,dfs.client.domain.socket.data.traffic,dfs.domain.socket.path != null => dfs.client.domain.socket.data.traffic = true,behavior
895,dfs.client.retry.window.base,dfs.client.retry.interval,dfs.client.retry.window.base > 0 => dfs.client.retry.interval < dfs.client.retry.window.base,behavior
466,dfs.namenode.resource.check.interval,dfs.namenode.resource.check.timeout,dfs.namenode.resource.check.interval > 0 => dfs.namenode.resource.check.timeout > dfs.namenode.resource.check.interval,behavior
354,dfs.namenode.invalidate.work.pct.per.iteration,dfs.block.invalidate.limit,dfs.namenode.invalidate.work.pct.per.iteration != null => dfs.block.invalidate.limit != null,behavior
1412,dfs.ha.fencing.methods,dfs.ha.standby.checkpoints,dfs.ha.fencing.methods = ANY => dfs.ha.standby.checkpoints = true,control
934,dfs.datanode.network.counts.cache.max.size,dfs.datanode.handler.count,dfs.datanode.network.counts.cache.max.size > default => dfs.datanode.handler.count > default,control
401,dfs.webhdfs.rest-csrf.enabled,dfs.webhdfs.rest-csrf.custom-header,dfs.webhdfs.rest-csrf.enabled = true => dfs.webhdfs.rest-csrf.custom-header != null,control
853,dfs.block.replicator.classname,dfs.replication,dfs.block.replicator.classname != null => dfs.replication > 1,control
1224,dfs.client.read.shortcircuit,dfs.domain.socket.path,dfs.client.read.shortcircuit = true => dfs.domain.socket.path != null,control
337,dfs.namenode.secondary.https-address,dfs.http.policy,"dfs.namenode.secondary.https-address != null => dfs.http.policy in {{HTTPS_ONLY, HTTP_AND_HTTPS}}",control
450,dfs.datanode.directoryscan.threads,dfs.datanode.directoryscan.throttle.limit.ms.per.sec,dfs.datanode.directoryscan.threads > default => dfs.datanode.directoryscan.throttle.limit.ms.per.sec > default,control
738,dfs.client.socket.send.buffer.size,dfs.datanode.handler.count,dfs.client.socket.send.buffer.size > default => dfs.datanode.handler.count > default,control
1082,dfs.ha.automatic-failover.enabled,dfs.ha.zkfc.port,dfs.ha.automatic-failover.enabled = true => dfs.ha.zkfc.port != null,control
1421,dfs.https.port,dfs.http.policy,"dfs.http.policy = ""HTTPS_ONLY"" => dfs.https.port != null",control
800,dfs.ha.zkfc.nn.http.timeout.ms,dfs.ha.fencing.ssh.connect-timeout,dfs.ha.zkfc.nn.http.timeout.ms > 5000 => dfs.ha.fencing.ssh.connect-timeout > dfs.ha.zkfc.nn.http.timeout.ms,control
1232,dfs.client.read.shortcircuit,dfs.block.local-path-access.user,dfs.client.read.shortcircuit = true => dfs.block.local-path-access.user != null,control
1259,dfs.namenode.top.num.users,dfs.namenode.top.enabled,dfs.namenode.top.enabled = true => dfs.namenode.top.num.users != null,control
1560,dfs.webhdfs.use.ipc.callq,dfs.http.policy,dfs.http.policy = HTTPS_ONLY => dfs.webhdfs.use.ipc.callq = ANY,control
720,dfs.namenode.list.cache.pools.num.responses,dfs.namenode.cache.pools.max,dfs.namenode.list.cache.pools.num.responses > 0 => dfs.namenode.cache.pools.max >= dfs.namenode.list.cache.pools.num.responses,control
