id,Parameter1,Parameter2,bnf,type
1,scst_target_driver,use_chap_auth,scst_target_driver != null => use_chap_auth = true,behavior
2,glance_core_properties,glance_api_version,"glance_core_properties != null => glance_api_version in {{1, 2}}",behavior
3,backup_swift_project,backup_swift_user_domain,backup_swift_project != null => backup_swift_user_domain != null,behavior
4,osapi_volume_ext_list,osapi_volume_extension,osapi_volume_ext_list != null => osapi_volume_extension in osapi_volume_ext_list,behavior
5,volume_backend_name,volume_driver,volume_backend_name != null => volume_driver != null,behavior
6,quota_backups,quota_backup_gigabytes,quota_backups != null => quota_backup_gigabytes != null,behavior
7,quota_groups,use_default_quota_class,use_default_quota_class = true => quota_groups != null,behavior
8,backup_swift_project,backup_swift_auth_url,backup_swift_project != null => backup_swift_auth_url != null,behavior
9,glance_catalog_info,glance_num_retries,glance_catalog_info != null => glance_num_retries > 0,behavior
10,backup_gcs_project_id,backup_gcs_writer_chunk_size,backup_gcs_project_id != null => backup_gcs_writer_chunk_size = ANY,behavior
11,quota_gigabytes,quota_backups,quota_gigabytes != null => quota_backups != null,behavior
12,zoning_mode,target_helper,zoning_mode != null => target_helper != null,behavior
13,nas_host,nas_share_path,nas_host != null => nas_share_path != null,behavior
14,storage_protocol,iscsi_helper,"storage_protocol = ""iSCSI"" => iscsi_helper in {""tgtadm"", ""lioadm"", ""iseradm""}",behavior
15,glance_ca_certificates_file,glance_certfile,glance_ca_certificates_file != null => glance_certfile != null,behavior
16,quota_backup_gigabytes,quota_backups,quota_backups != null => quota_backup_gigabytes != null,behavior
17,service_down_time,report_interval,service_down_time > 60 => report_interval < service_down_time / 3,behavior
18,backup_swift_url,backup_swift_user,backup_swift_url != null => backup_swift_user != null,behavior
19,backup_swift_user,backup_swift_key,<Dependency> ::= <backup_swift_user> != null => <backup_swift_key> != null,behavior
20,backup_gcs_bucket,backup_gcs_storage_class,backup_gcs_bucket != null => backup_gcs_storage_class != null,behavior
21,zoning_mode,storage_protocol,zoning_mode != null => storage_protocol != null,behavior
22,auth_section,auth_connection_timeout,"<Variable> = ""auth_section"" => <Variable> > 0",behavior
23,per_volume_size_limit,quota_snapshots,per_volume_size_limit > 0 => quota_snapshots = ANY,behavior
