id,Parameter1,Parameter2,bnf,type
1056,ssl.server.keystore.keypassword,ssl.server.keystore.location,ssl.server.keystore.keypassword != null => ssl.server.keystore.location != null,behavior
1078,httpfs.buffer.size,dfs.https.client.https.socket.receive.buffer.size,httpfs.buffer.size > 65536 => dfs.https.client.https.socket.receive.buffer.size = httpfs.buffer.size,behavior
278,ipc.client.idlethreshold,ipc.client.connection.maxlifetime,ipc.client.idlethreshold > 0 => ipc.client.connection.maxlifetime > ipc.client.idlethreshold * 2,behavior
264,fs.s3a.multipart.size,fs.s3a.block.size,fs.s3a.multipart.size > fs.s3a.block.size => fs.s3a.block.size = fs.s3a.multipart.size,behavior
1077,httpfs.buffer.size,dfs.https.client.https.socket.send.buffer.size,httpfs.buffer.size > 65536 => dfs.https.client.https.socket.send.buffer.size = httpfs.buffer.size,behavior
722,hadoop.registry.secure,hadoop.registry.kerberos.realm,"hadoop.registry.secure = ""true"" => hadoop.registry.kerberos.realm != ""null""",behavior
221,hadoop.tmp.dir,mapreduce.cluster.temp.dir,"hadoop.tmp.dir != null => mapreduce.cluster.temp.dir = hadoop.tmp.dir + ""/mapred""",behavior
191,io.mapfile.bloom.size,io.mapfile.bloom.error.rate,io.mapfile.bloom.error.rate < io.mapfile.bloom.size => io.mapfile.bloom.error.rate < io.mapfile.bloom.size,behavior
293,file.blocksize,memory.buffer_size,file.blocksize > 8192 => memory.buffer_size > file.blocksize * 2,behavior
230,hadoop.security.group.mapping.ldap.bind.user,hadoop.security.group.mapping.ldap.url,hadoop.security.group.mapping.ldap.bind.user != null => hadoop.security.group.mapping.ldap.url != null,behavior
240,hadoop.security.sensitive-config-keys,hadoop.security.authorization,hadoop.security.sensitive-config-keys != null => hadoop.security.authorization = true,behavior
1753,hfile.block.index.cacheonwrite,hbase.hstore.compactionThreshold,hfile.block.index.cacheonwrite = true => hbase.hstore.compactionThreshold in {{ANY}},behavior
1542,zookeeper.recovery.retry.maxsleeptime,hbase.zookeeper.property.tickTime,<Dependency> ::= <Variable> = <Singlevalue> => <Variable> = <Expression>,behavior
236,hadoop.security.group.mapping.ldap.posix.attr.uid.name,hadoop.security.group.mapping.ldap.url,hadoop.security.group.mapping.ldap.posix.attr.uid.name != null => hadoop.security.group.mapping.ldap.url != null,behavior
