id,Parameter1,Parameter2,bnf,type
1,swift_store_endpoint_type,swift_store_endpoint,swift_store_endpoint_type != null => swift_store_endpoint != null,behavior
2,vmware_api_insecure,swift_store_auth_insecure,vmware_api_insecure = ANY => swift_store_auth_insecure = ANY,behavior
3,image_cache_max_size,image_cache_duration,image_cache_max_size > 0 => image_cache_duration > 0,behavior
4,auth_version,swift_store_region,auth_version!=null => swift_store_region=ANY,behavior
5,s3_store_secret_key,s3_store_host,<Variable> = 's3_store_secret_key' => <Variable> = 's3_store_host',behavior
6,filesystem_store_datadirs,filesystem_store_file_perm,filesystem_store_datadirs != null => filesystem_store_file_perm != null,behavior
7,auth_version,swift_store_auth_address,auth_version!=null => swift_store_auth_address=ANY,behavior
8,vmware_api_insecure,vmware_server_host,vmware_api_insecure = true => vmware_server_host != null,control
9,cinder_store_project_name,cinder_store_auth_address,cinder_store_project_name != null => cinder_store_auth_address != null,control
10,image_cache_driver,image_cache_max_size,image_cache_driver != null => image_cache_max_size != null,control
11,image_cache_driver,image_cache_size,"image_cache_driver in {'file', 'xfs'} => image_cache_size > 0",control
12,enabled_backends,filesystem_store_datadirs,"enabled_backends in {{ ""filesystem"" }} => filesystem_store_datadirs != null",control
13,enabled_backends,swift_store_key,"enabled_backends in {{ ""swift"" }} => swift_store_key != null",control
14,enabled_backends,s3_store_host,"enabled_backends in {{ ""s3"" }} => s3_store_host != null",control
15,debug,trace_sqlalchemy,debug=true => trace_sqlalchemy=true,control
16,cinder_store_user_name,cinder_store_password,cinder_store_user_name != null => cinder_store_password != null,control
17,cinder_store_auth_address,cinder_store_user_name,cinder_store_auth_address != null => cinder_store_user_name != null,control
18,debug,trace_sqlalchemy,debug=true => trace_sqlalchemy=true,control
19,swift_store_endpoint_type,swift_store_auth_insecure,"swift_store_endpoint_type = ""adminURL"" => swift_store_auth_insecure = false",control
20,cinder_store_user_name,cinder_store_user_domain_name,cinder_store_user_name != null => cinder_store_user_domain_name != null,control
21,enabled_backends,swift_store_container,"enabled_backends in {{ ""swift"" }} => swift_store_container != null",control
22,swift_store_create_container_on_put,swift_store_container,swift_store_create_container_on_put=true => swift_store_container!=null,control
23,enabled_backends,swift_store_user,"enabled_backends in {{ ""swift"" }} => swift_store_user != null",control
24,enabled,image_cache_dir,enabled=true => image_cache_dir!=null,control
25,swift_store_endpoint_type,swift_store_ssl_compression,"swift_store_endpoint_type = ""publicURL"" => swift_store_ssl_compression != null",control
26,log_use_syslog,enabled_backends,log_use_syslog = true => enabled_backends != null,control
27,cinder_store_user_name,cinder_store_password,cinder_store_user_name != null => cinder_store_password != null,control
28,enabled,log_use_syslog,enabled=true => log_use_syslog=ANY,control
29,enabled,public_endpoint,enabled=true => public_endpoint!=null,control
30,debug,verbose,debug = true => verbose = true,control
31,cinder_store_user_name,cinder_store_auth_address,cinder_store_user_name != null => cinder_store_auth_address != null,control
32,enabled_backends,swift_store_auth_address,"enabled_backends in {{ ""swift"" }} => swift_store_auth_address != null",control
33,os_region_name,cinder_os_region_name,os_region_name = ANY => cinder_os_region_name = os_region_name,default
34,image_cache_dir,image_cache_sqlite_db,image_cache_sqlite_db = ANY => image_cache_dir = image_cache_sqlite_db,default
35,swift_store_large_object_size,swift_store_large_object_chunk_size,swift_store_large_object_size = ANY => swift_store_large_object_chunk_size = 200,default
36,auth_address,cinder_store_auth_address,auth_address=ANY => cinder_store_auth_address=auth_address,default
37,auth_version,swift_store_auth_version,auth_version=ANY => swift_store_auth_version=auth_version,default
38,auth_address,swift_store_auth_address,auth_address != null => swift_store_auth_address = ANY,overwrite
39,swift_store_large_object_size,swift_store_large_object_chunk_size,swift_store_large_object_size > 0 => swift_store_large_object_chunk_size < swift_store_large_object_size,value
40,s3_store_large_object_size,s3_store_large_object_chunk_size,s3_store_large_object_size > 0 => s3_store_large_object_chunk_size < s3_store_large_object_size,value
