id,Parameter1,Parameter2,bnf,type
1,hbase.client.write.buffer,hbase.regionserver.handler.count,hbase.client.write.buffer * hbase.regionserver.handler.count = <Expression>,behavior
2,hbase.hstore.compactionThreshold,hbase.hstore.compaction.max,hbase.hstore.compactionThreshold > {{ANY}} => hbase.hstore.compaction.max > hbase.hstore.compactionThreshold,behavior
3,hbase.master.kerberos.principal,hbase.regionserver.kerberos.principal,hbase.master.kerberos.principal != null => hbase.regionserver.kerberos.principal != null,behavior
4,hbase.regionserver.storefile.refresh.period,hbase.hregion.memstore.flush.size,hbase.regionserver.storefile.refresh.period < hbase.hregion.memstore.flush.size => hbase.hregion.memstore.flush.size > hbase.regionserver.storefile.refresh.period,behavior
5,hbase.master.infoserver.redirect,hbase.master.info.bindAddress,hbase.master.info.bindAddress != null => hbase.master.infoserver.redirect = ANY,behavior
6,hbase.regionserver.majorcompaction.pagecache.drop,hbase.regionserver.global.memstore.size,hbase.regionserver.majorcompaction.pagecache.drop = true => hbase.regionserver.global.memstore.size < 0.4,behavior
7,hbase.rest.readonly,hbase.rest.http.allow.options,hbase.rest.readonly = true => hbase.rest.http.allow.options = false,behavior
8,hbase.hstore.compaction.ratio.offpeak,hbase.regionserver.thread.compaction.large,hbase.hstore.compaction.ratio.offpeak > 1.0 => hbase.regionserver.thread.compaction.large > 1,behavior
9,hbase.rs.cacheblocksonwrite,hbase.rs.cacheflushblocksonwrite,hbase.rs.cacheblocksonwrite = true => hbase.rs.cacheflushblocksonwrite = true,behavior
10,hbase.regionserver.global.memstore.size.lower.limit,hbase.regionserver.global.memstore.size,hbase.regionserver.global.memstore.size.lower.limit < hbase.regionserver.global.memstore.size,behavior
11,hbase.coprocessor.region.classes,hbase.coprocessor.region.classpath,hbase.coprocessor.region.classes != null => hbase.coprocessor.region.classpath != null,behavior
12,hbase.hregion.max.filesize,hbase.regionserver.global.memstore.size,hbase.hregion.max.filesize > [10GB..∞] => hbase.regionserver.global.memstore.size > 0.3,behavior
13,hbase.hstore.compaction.kv.max,hbase.hregion.memstore.flush.size,hbase.hstore.compaction.kv.max > 0 => hbase.hregion.memstore.flush.size in [134217728..1073741824],behavior
14,hbase.region.replica.replication.enabled,hbase.region.replica.storefile.refresh.memstore.multiplier,hbase.region.replica.replication.enabled = true => hbase.region.replica.storefile.refresh.memstore.multiplier > 1,behavior
15,hbase.rootdir,hbase.fs.tmp.dir,hbase.rootdir != null => hbase.fs.tmp.dir != null,behavior
16,hbase.server.thread.wakefrequency,hbase.server.versionfile.writeattempts,hbase.server.thread.wakefrequency = ANY => hbase.server.versionfile.writeattempts = 3,behavior
17,hbase.normalizer.period,hbase.normalizer.split.threshold,hbase.normalizer.period > 0 => hbase.normalizer.split.threshold > 1.0,behavior
18,hbase.security.authentication,hbase.crypto.keyprovider,hbase.security.authentication = 'kerberos' => hbase.crypto.keyprovider != null,behavior
19,hbase.snapshot.master.timeout.millis,hbase.snapshot.region.timeout,hbase.snapshot.master.timeout.millis > 60000 => hbase.snapshot.region.timeout > 60000,behavior
20,hbase.zookeeper.property.maxClientCnxns,hbase.zookeeper.property.syncLimit,hbase.zookeeper.property.maxClientCnxns > 100 => hbase.zookeeper.property.syncLimit > 5,behavior
21,hbase.client.max.total.tasks,hbase.client.max.perregion.tasks,hbase.client.max.total.tasks > hbase.client.max.perregion.tasks => hbase.client.max.perregion.tasks < hbase.client.max.total.tasks,behavior
22,hbase.table.max.rowsize,hfile.block.cache.size,hbase.table.max.rowsize > ANY => hfile.block.cache.size > ANY,behavior
23,hbase.coordinated.state.manager.class,hbase.coordinated.state.manager,hbase.coordinated.state.manager.class != null => hbase.coordinated.state.manager != null,behavior
24,hbase.status.publisher.class,hbase.status.listener.class,"hbase.status.publisher.class = ""org.apache.hadoop.hbase.master.ClusterStatusPublisher$MulticastPublisher"" => hbase.status.listener.class = ""org.apache.hadoop.hbase.client.ClusterStatusListener$MulticastListener""",behavior
25,hbase.hregion.memstore.mslab.enabled,hbase.hregion.memstore.mslab.max.allocation,hbase.hregion.memstore.mslab.enabled = true => hbase.hregion.memstore.mslab.max.allocation > hbase.hregion.memstore.mslab.chunksize,behavior
26,hbase.master.keytab.file,hbase.security.authentication,hbase.security.authentication = kerberos => hbase.master.keytab.file != null,control
27,hbase.regionserver.global.memstore.size.lower.limit,hbase.regionserver.heapmemory.max,hbase.regionserver.global.memstore.size.lower.limit < hbase.regionserver.heapmemory.max,control
28,hbase.master.loadbalancer.class,hbase.regionserver.region.count.limit,hbase.master.loadbalancer.class != null => hbase.regionserver.region.count.limit > 0,control
29,hbase.data.umask.enable,hbase.data.umask,hbase.data.umask.enable = true => hbase.data.umask != null,control
30,hbase.hstore.compaction.ratio.offpeak,hbase.offpeak.end.hour,hbase.hstore.compaction.ratio.offpeak != ANY => hbase.offpeak.end.hour != null,control
31,hbase.snapshot.enabled,hbase.snapshot.master.timeoutMillis,hbase.snapshot.enabled = true => hbase.snapshot.master.timeoutMillis > 0,control
32,hbase.storescanner.parallel.seek.threads,hbase.storescanner.parallel.seek.enable,hbase.storescanner.parallel.seek.enable = true => hbase.storescanner.parallel.seek.threads > 0,control
33,hbase.coprocessor.region.classes,hbase.regionserver.coprocessor.heap.memory,hbase.coprocessor.region.classes != null => hbase.regionserver.coprocessor.heap.memory > 0,control
34,hbase.thrift.maxQueuedRequests,hbase.thrift.worker.threads,hbase.thrift.maxQueuedRequests > 100 => hbase.thrift.worker.threads > 10,control
35,hbase.rest.threads.min,hbase.rest.threads.max,hbase.rest.threads.min > hbase.rest.threads.max => hbase.rest.threads.max = hbase.rest.threads.min + 1,control
36,hbase.status.publisher.class,hbase.status.multithreaded.publisher.threads,"hbase.status.publisher.class in {{org.apache.hadoop.hbase.MultiThreadedStatusPublisher, com.custom.MultiThreadedPublisher}} => hbase.status.multithreaded.publisher.threads > 1",control
37,hbase.column.max.version,hbase.column.min.version,hbase.column.max.version > hbase.column.min.version,control
38,hbase.local.dir,hbase.cluster.distributed,hbase.cluster.distributed = false => hbase.local.dir = ANY,control
39,hbase.zookeeper.leaderport,hbase.zookeeper.quorum,hbase.zookeeper.quorum != null => hbase.zookeeper.leaderport = ANY,control
40,hbase.regionserver.keytab.file,hbase.security.authentication,hbase.regionserver.keytab.file != null => hbase.security.authentication = 'kerberos',control
41,hbase.http.max.threads,hbase.http.min.threads,hbase.http.max.threads > 100 => hbase.http.min.threads = 10,control
