id,Parameter1,Parameter2,bnf,type
1495,yarn.nodemanager.container-monitor.procfs-tree.smaps-based-rss.enabled,yarn.nodemanager.vmem-check-enabled,yarn.nodemanager.container-monitor.procfs-tree.smaps-based-rss.enabled = true => yarn.nodemanager.vmem-check-enabled = false,behavior
2003,yarn.timeline-service.version,yarn.timeline-service.webapp.https.address,yarn.timeline-service.version = 2 => yarn.timeline-service.webapp.https.address = ${yarn.timeline-service.hostname}:8190,behavior
1380,yarn.web-proxy.principal,hadoop.security.auth_to_local,yarn.web-proxy.principal != null => hadoop.security.auth_to_local in {{VALID_MAPPING_RULES}},behavior
501,yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs,yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs,yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs > yarn.nm.liveness-monitor.expiry-interval-ms AND yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs > yarn.resourcemanager.rm.container-allocation.expiry-interval-ms => yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs = 86400,behavior
1441,yarn.timeline-service.hbase.configuration.file,hdfs.replication,yarn.timeline-service.hbase.configuration.file != null => hdfs.replication in [1..10],behavior
1358,yarn.nodemanager.container-diagnostics-maximum-size,yarn.log-aggregation.retain-seconds,yarn.nodemanager.container-diagnostics-maximum-size > default => yarn.log-aggregation.retain-seconds > default,behavior
1420,yarn.timeline-service.state-store-class,yarn.timeline-service.leveldb-state-store.path,"yarn.timeline-service.state-store-class = ""org.apache.hadoop.yarn.server.timeline.LeveldbTimelineStore"" => yarn.timeline-service.leveldb-state-store.path != null",behavior
624,yarn.federation.subcluster-resolver.class,yarn.federation.state-store.class,yarn.federation.subcluster-resolver.class = org.apache.hadoop.yarn.server.federation.resolver.defaultSubClusterResolverImpl => yarn.federation.state-store.class = org.apache.hadoop.yarn.server.federation.store.impl.MemoryFederationStateStore,behavior
1389,yarn.timeline-service.address,yarn.timeline-service.port,yarn.timeline-service.address = ANY => yarn.timeline-service.port = [1024..65535],behavior
2057,yarn.timeline-service.client.max-retries,yarn.timeline-service.client.best-effort,yarn.timeline-service.client.max-retries > 0 => yarn.timeline-service.client.best-effort = false,behavior
1484,yarn.nodemanager.node-labels.provider.script.path,yarn.node-labels.fs-store.root-dir,yarn.nodemanager.node-labels.provider.script.path != null => yarn.node-labels.fs-store.root-dir != null,behavior
1138,yarn.resourcemanager.node-ip-cache.expiry-interval-secs,yarn.resourcemanager.node-ip-cache.size,yarn.resourcemanager.node-ip-cache.expiry-interval-secs > 300 => yarn.resourcemanager.node-ip-cache.size > 1000,behavior
455,yarn.resourcemanager.fs.state-store.num-retries,yarn.resourcemanager.fs.state-store.retry-interval-ms,yarn.resourcemanager.fs.state-store.num-retries > 0 => yarn.resourcemanager.fs.state-store.retry-interval-ms = 1000,behavior
1191,yarn.resourcemanager.ha.rm-ids,yarn.resourcemanager.webapp.address.[rmId],"yarn.resourcemanager.ha.rm-ids in {{rm1,rm2,...}} => yarn.resourcemanager.webapp.address.[rmId] != null for each rmId in yarn.resourcemanager.ha.rm-ids",behavior
1124,yarn.resourcemanager.connect.max-wait.ms,yarn.resourcemanager.connect.retry-interval.ms,yarn.resourcemanager.connect.max-wait.ms > 0 => yarn.resourcemanager.connect.retry-interval.ms < yarn.resourcemanager.connect.max-wait.ms,behavior
1236,yarn.resourcemanager.reservation-system.plan.follower,yarn.resourcemanager.scheduler.class,"yarn.resourcemanager.scheduler.class in {{org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.FairScheduler, org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.CapacityScheduler}} => yarn.resourcemanager.reservation-system.plan.follower != null",behavior
1281,yarn.log-aggregation.file-controller.TFile.class,yarn.log-aggregation.retain-seconds,yarn.log-aggregation.file-controller.TFile.class != null => yarn.log-aggregation.retain-seconds > 0,behavior
1150,yarn.resourcemanager.recovery.enabled,yarn.resourcemanager.store.class,yarn.resourcemanager.recovery.enabled = true => yarn.resourcemanager.store.class != null,behavior
1172,yarn.resourcemanager.leveldb-state-store.compaction-interval-secs,yarn.resourcemanager.leveldb-state-store.path,yarn.resourcemanager.leveldb-state-store.compaction-interval-secs > 3600 => yarn.resourcemanager.leveldb-state-store.path != null,behavior
1220,yarn.resourcemanager.configuration.provider-class,yarn.resourcemanager.scheduler.class,yarn.resourcemanager.configuration.provider-class != null => yarn.resourcemanager.scheduler.class != null,behavior
1197,yarn.client.failover-sleep-base-ms,yarn.client.failover-max-wait-ms,yarn.client.failover-sleep-base-ms > 0 => yarn.client.failover-max-wait-ms > yarn.client.failover-sleep-base-ms,behavior
1321,yarn.nodemanager.disk-health-checker.min-healthy-disks,yarn.nodemanager.local-dirs,yarn.nodemanager.disk-health-checker.min-healthy-disks > 0 => yarn.nodemanager.local-dirs != null,behavior
1156,yarn.resourcemanager.store.class,yarn.resourcemanager.fs.state-store.uri,yarn.resourcemanager.store.class != null => yarn.resourcemanager.fs.state-store.uri != null,behavior
1428,yarn.timeline-service.entity-group-fs-store.retain-seconds,yarn.timeline-service.leveldb-timeline-store.retain-seconds,yarn.timeline-service.entity-group-fs-store.retain-seconds = <valueExpression> => yarn.timeline-service.leveldb-timeline-store.retain-seconds = <valueExpression>,behavior
1297,yarn.nodemanager.resource.cpu-vcores,yarn.nodemanager.resource.percentage-physical-cpu-limit,yarn.nodemanager.resource.percentage-physical-cpu-limit < 100 => yarn.nodemanager.resource.cpu-vcores < (total_physical_cores * yarn.nodemanager.resource.percentage-physical-cpu-limit / 100),behavior
1239,yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,yarn.resourcemanager.scheduler.class,"yarn.resourcemanager.scheduler.class != ""ANY"" => yarn.resourcemanager.rm.container-allocation.expiry-interval-ms != ""ANY""",behavior
1229,yarn.resourcemanager.delegation.key.update-interval,yarn.resourcemanager.delegation.token.renew-interval,yarn.resourcemanager.delegation.key.update-interval = yarn.resourcemanager.delegation.token.renew-interval => yarn.resourcemanager.delegation.token.renew-interval = [yarn.resourcemanager.delegation.key.update-interval..ANY],behavior
1241,yarn.nodemanager.bind-host,yarn.nodemanager.address,yarn.nodemanager.bind-host = <String> => yarn.nodemanager.address = <String>,behavior
424,yarn.am.liveness-monitor.expiry-interval-ms,yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,<Dependency> ::= <Condition> => <ConstraintItem>,behavior
1311,yarn.nodemanager.resource-calculator.class,yarn.scheduler.minimum-allocation-mb,yarn.nodemanager.resource-calculator.class = ANY => yarn.scheduler.minimum-allocation-mb > 0,behavior
1130,yarn.resourcemanager.am.max-attempts,yarn.resourcemanager.am.failures.max-retries,yarn.resourcemanager.am.max-attempts > 1 => yarn.resourcemanager.am.failures.max-retries = yarn.resourcemanager.am.max-attempts,behavior
1152,yarn.resourcemanager.fail-fast,yarn.resourcemanager.recovery.enabled,yarn.resourcemanager.fail-fast = true => yarn.resourcemanager.recovery.enabled = true,behavior
