ID,Option A,Option B,Option A Description,Option B Description
1,mapreduce.job.local-fs.single-disk-limit.check.kill-limit-exceed,mapreduce.job.local-fs.single-disk-limit.bytes,If mapreduce.job.local-fs.single-disk-limit.bytes is triggered should the task be killed or logged. If false the intent to kill the task is only logged in the container logs.,"Enable an in task monitor thread to watch for single disk consumption by jobs. By setting this to x nr of bytes, the task will fast fail in case it is reached. This is a per disk configuration."
2,mapreduce.job.maps,mapreduce.framework.name,"The default number of map tasks per job. Ignored when mapreduce.framework.name is ""local"".","The runtime framework for executing MapReduce jobs. Can be one of local, classic or yarn."
3,mapreduce.job.reduces,mapreduce.framework.name,"The default number of reduce tasks per job. Typically set to 99% of the cluster's reduce capacity, so that if a node fails the reduces can still be executed in a single wave. Ignored when mapreduce.framework.name is ""local"".","The runtime framework for executing MapReduce jobs. Can be one of local, classic or yarn."
4,mapreduce.map.memory.mb,mapreduce.job.heap.memory-mb.ratio,"The amount of memory to request from the scheduler for each map task. If this is not specified or is non-positive, it is inferred from mapreduce.map.java.opts and mapreduce.job.heap.memory-mb.ratio. If java-opts are also not specified, we set it to 1024.","The ratio of heap-size to container-size. If no -Xmx is specified, it is calculated as (mapreduce.{map|reduce}.memory.mb * mapreduce.heap.memory-mb.ratio). If -Xmx is specified but not mapreduce.{map|reduce}.memory.mb, it is calculated as (heapSize / mapreduce.heap.memory-mb.ratio)."
5,mapreduce.reduce.memory.mb,mapreduce.job.heap.memory-mb.ratio,"The amount of memory to request from the scheduler for each reduce task. If this is not specified or is non-positive, it is inferred from mapreduce.reduce.java.opts and mapreduce.job.heap.memory-mb.ratio. If java-opts are also not specified, we set it to 1024.","The ratio of heap-size to container-size. If no -Xmx is specified, it is calculated as (mapreduce.{map|reduce}.memory.mb * mapreduce.heap.memory-mb.ratio). If -Xmx is specified but not mapreduce.{map|reduce}.memory.mb, it is calculated as (heapSize / mapreduce.heap.memory-mb.ratio)."
6,mapred.child.java.opts,mapreduce.job.heap.memory-mb.ratio,"Java opts for the task processes. The following symbol, if present, will be interpolated: @taskid@ is replaced by current TaskID. Any other occurrences of '@' will go unchanged. For example, to enable verbose gc logging to a file named for the taskid in /tmp and to set the heap maximum to be a gigabyte, pass a 'value' of: -Xmx1024m -verbose:gc -Xloggc:/tmp/@taskid@.gc Usage of -Djava.library.path can cause programs to no longer function if hadoop native libraries are used. These values should instead be set as part of LD_LIBRARY_PATH in the map / reduce JVM env using the mapreduce.map.env and mapreduce.reduce.env config settings. If -Xmx is not set, it is inferred from mapreduce.{map|reduce}.memory.mb and mapreduce.job.heap.memory-mb.ratio.","The ratio of heap-size to container-size. If no -Xmx is specified, it is calculated as (mapreduce.{map|reduce}.memory.mb * mapreduce.heap.memory-mb.ratio). If -Xmx is specified but not mapreduce.{map|reduce}.memory.mb, it is calculated as (heapSize / mapreduce.heap.memory-mb.ratio)."
7,yarn.app.mapreduce.am.log.level,mapreduce.job.log4j-properties-file,"The logging level for the MR ApplicationMaster. The allowed levels are: OFF, FATAL, ERROR, WARN, INFO, DEBUG, TRACE and ALL. The setting here could be overriden if ""mapreduce.job.log4j-properties-file"" is set.","Used to override the default settings of log4j in container-log4j.properties for NodeManager. Like container-log4j.properties, it requires certain framework appenders properly defined in this overriden file. The file on the path will be added to distributed cache and classpath. If no-scheme is given in the path, it defaults to point to a log4j file on the local FS."
8,mapreduce.map.log.level,mapreduce.job.log4j-properties-file,"The logging level for the map task. The allowed levels are: OFF, FATAL, ERROR, WARN, INFO, DEBUG, TRACE and ALL. The setting here could be overridden if ""mapreduce.job.log4j-properties-file"" is set.","Used to override the default settings of log4j in container-log4j.properties for NodeManager. Like container-log4j.properties, it requires certain framework appenders properly defined in this overriden file. The file on the path will be added to distributed cache and classpath. If no-scheme is given in the path, it defaults to point to a log4j file on the local FS."
9,mapreduce.reduce.log.level,mapreduce.job.log4j-properties-file,"The logging level for the reduce task. The allowed levels are: OFF, FATAL, ERROR, WARN, INFO, DEBUG, TRACE and ALL. The setting here could be overridden if ""mapreduce.job.log4j-properties-file"" is set.","Used to override the default settings of log4j in container-log4j.properties for NodeManager. Like container-log4j.properties, it requires certain framework appenders properly defined in this overriden file. The file on the path will be added to distributed cache and classpath. If no-scheme is given in the path, it defaults to point to a log4j file on the local FS."
10,mapreduce.reduce.shuffle.merge.percent,mapreduce.reduce.shuffle.input.buffer.percent,"The usage threshold at which an in-memory merge will be initiated, expressed as a percentage of the total memory allocated to storing in-memory map outputs, as defined by mapreduce.reduce.shuffle.input.buffer.percent.",The percentage of memory to be allocated from the maximum heap size to storing map outputs during the shuffle.
