verbose,"Optional. Default: False Can be specified on the command line and in configuration files. Turns on the INFO level in logging and prints more verbose command-line
interface printouts."
debug,Optional. Default: False Can be specified on the command line and in configuration files. Turns on the DEBUG level in logging.
config-file,"Optional. Default: See below for default search order. Specified on the command line only. Takes a path to a configuration file to use when running the program. If this
CLI option is not specified, then we check to see if the first argument is a
file. If it is, then we try to use that as the configuration file.
If there is no file or there were no arguments, we search for a configuration
file in the following order: ~/.glance ~/ /etc/glance /etc The filename that is searched for depends on the server application name. So,
if you are starting up the API server, glance-api.conf is searched for."
config-dir,"Optional. Default: None Specified on the command line only. Takes a path to a configuration directory from which all *.conf fragments
are loaded. This provides an alternative to multiple config-file options when it is inconvenient to explicitly enumerate all the
configuration files, for example when an unknown number of config fragments
are being generated by a deployment framework. If config-dir is set, then config-file is ignored. An example usage would be: The numeric prefixes in the example above are only necessary if a specific
parse ordering is required (i.e. if an individual config option set in an
earlier fragment is overridden in a later fragment). Note that glance-manage currently loads configuration from three files: glance-api.conf glance-manage.conf By default glance-manage.conf only specifies a custom logging file but
other configuration options for glance-manage should be migrated
in there. Warning : Options set in glance-manage.conf will override options of
the same section and name set in glance-api.conf"
verbose,"Optional. Default: False Can be specified on the command line and in configuration files. Turns on the INFO level in logging and prints more verbose command-line
interface printouts."
debug,Optional. Default: False Can be specified on the command line and in configuration files. Turns on the DEBUG level in logging.
config-file,"Optional. Default: See below for default search order. Specified on the command line only. Takes a path to a configuration file to use when running the program. If this
CLI option is not specified, then we check to see if the first argument is a
file. If it is, then we try to use that as the configuration file.
If there is no file or there were no arguments, we search for a configuration
file in the following order: ~/.glance ~/ /etc/glance /etc The filename that is searched for depends on the server application name. So,
if you are starting up the API server, glance-api.conf is searched for."
config-dir,"Optional. Default: None Specified on the command line only. Takes a path to a configuration directory from which all *.conf fragments
are loaded. This provides an alternative to multiple config-file options when it is inconvenient to explicitly enumerate all the
configuration files, for example when an unknown number of config fragments
are being generated by a deployment framework. If config-dir is set, then config-file is ignored. An example usage would be: The numeric prefixes in the example above are only necessary if a specific
parse ordering is required (i.e. if an individual config option set in an
earlier fragment is overridden in a later fragment). Note that glance-manage currently loads configuration from three files: glance-api.conf glance-manage.conf By default glance-manage.conf only specifies a custom logging file but
other configuration options for glance-manage should be migrated
in there. Warning : Options set in glance-manage.conf will override options of
the same section and name set in glance-api.conf"
bind_host,The address of the host to bind to. Optional. Default: 0.0.0.0
bind_port,The port the server should bind to. Optional. Default: 9292 for the API server
backlog,Number of backlog requests to configure the socket with. Optional. Default: 4096
tcp_keepidle,"Sets the value of TCP_KEEPIDLE in seconds for each server socket.
Not supported on OS X. Optional. Default: 600"
client_socket_timeout,"Timeout for client connections’ socket operations.  If an incoming
connection is idle for this period it will be closed.  A value of 0 means wait forever. Optional. Default: 900"
workers,"Number of Glance API worker processes to start. Each worker process will
listen on the same port. Increasing this value may increase performance
(especially if using SSL with compression enabled). Typically it is
recommended to have one worker process per CPU. The value 0 will prevent
any new worker processes from being created. Optional. Default: The number of CPUs available will be used by default."
max_request_id_length,"Limits the maximum size of the x-openstack-request-id header which is
logged. Affects only if context middleware is configured in pipeline. Optional. Default: 64 (Limited by max_header_line default: 16384)"
log-config,Optional. Default: None Specified on the command line only. Takes a path to a configuration file to use for configuring logging.
log_file,"The filepath of the file to use for logging messages from Glance’s servers.
If missing, the default is to output messages to stdout ,
so if you are running Glance servers in a daemon mode
(using glance-control ) you should make sure that the log_file option is set appropriately."
log_dir,"The filepath of the directory to use for log files.
If not specified (the default) the log_file is used as
an absolute filepath."
log_date_format,The format string for timestamps in the log output. Defaults to %Y-%m-%d %H:%M:%S . See the logging module documentation for more information on setting this format string.
log_use_syslog,Use syslog logging functionality. Defaults to False.
enabled_backends,"Required. A comma-separated list of “store_id:store_type” strings. The store ids can
be chosen by the user, whereas valid store types are ( file , http , rbd , swift , cinder , vmware , s3 )."
filesystem_store_datadir,"Optional. Default: /var/lib/glance/images/ Can only be specified in configuration files. This option is specific to the filesystem storage backend. Sets the path where the filesystem storage backend write disk images.
Note that the filesystem storage backend will attempt to create this
directory if it does not exist. Ensure that the user that glance-api runs under has write permissions to this directory."
filesystem_store_file_perm,"Optional. Default: 0 Can only be specified in configuration files. This option is specific to the filesystem storage backend. The required permission value, in octal representation, for the created
image file. You can use this value to specify the user of the consuming
service (such as Nova) as the only member of the group that owns
the created files. To keep the default value, assign a permission value that
is less than or equal to 0.  Note that the file owner must maintain read
permission; if this value removes that permission an error message
will be logged and the BadStoreConfiguration exception will be raised.
If the Glance service has insufficient privileges to change file access
permissions, a file will still be saved, but a warning message
will appear in the Glance log."
filesystem_store_chunk_size,"Optional. Default: 65536 Can only be specified in configuration files. This option is specific to the filesystem storage backend. The chunk size used when reading or writing image files. Raising this value
may improve the throughput but it may also slightly increase the memory
usage when handling a large number of requests."
filesystem_store_datadirs,"Optional. Default: /var/lib/glance/images/:1 Example: This option can only be specified in configuration file and is specific
to the filesystem storage backend only. filesystem_store_datadirs option allows administrators to configure
multiple store directories to save glance image in filesystem storage
backend. Each directory can be coupled with its priority. NOTE : This option can be specified multiple times to specify multiple stores. Either filesystem_store_datadir or filesystem_store_datadirs option must be
specified in glance-api.conf Store with priority 200 has precedence over store with priority 100. If no priority is specified, default priority ‘0’ is associated with it. If two filesystem stores have same priority store with maximum free space
will be chosen to store the image. If same store is specified multiple times then BadStoreConfiguration
exception will be raised."
swift_store_auth_address,"Required when using the Swift storage backend. Can only be specified in configuration files. Deprecated. Use auth_address in the Swift back-end configuration
file instead. This option is specific to the Swift storage backend. Sets the authentication URL supplied to Swift when making calls to its
storage system. For more information about the Swift authentication system,
please see the Swift auth documentation. IMPORTANT NOTE : Swift authentication addresses use HTTPS by default. This
means that if you are running Swift with authentication over HTTP, you need
to set your swift_store_auth_address to the full URL,
including the http:// ."
swift_store_user,Required when using the Swift storage backend. Can only be specified in configuration files. Deprecated. Use user in the Swift back-end configuration file instead. This option is specific to the Swift storage backend. Sets the user to authenticate against the swift_store_auth_address with.
swift_store_key,Required when using the Swift storage backend. Can only be specified in configuration files. Deprecated. Use key in the Swift back-end configuration file instead. This option is specific to the Swift storage backend. Sets the authentication key to authenticate against the swift_store_auth_address with for the user swift_store_user .
swift_store_container,Optional. Default: glance Can only be specified in configuration files. This option is specific to the Swift storage backend. Sets the name of the container to use for Glance images in Swift.
swift_store_create_container_on_put,"Optional. Default: False Can only be specified in configuration files. This option is specific to the Swift storage backend. If true, Glance will attempt to create the container swift_store_container if it does not exist."
swift_store_large_object_size,"Optional. Default: 5120 Can only be specified in configuration files. This option is specific to the Swift storage backend. What size, in MB, should Glance start chunking image files
and do a large object manifest in Swift? By default, this is
the maximum object size in Swift, which is 5GB"
swift_store_large_object_chunk_size,"Optional. Default: 200 Can only be specified in configuration files. This option is specific to the Swift storage backend. When doing a large object manifest, what size, in MB, should
Glance write chunks to Swift?  The default is 200MB."
swift_store_multi_tenant,"Optional. Default: False Can only be specified in configuration files. This option is specific to the Swift storage backend. If set to True enables multi-tenant storage mode which causes Glance images
to be stored in tenant specific Swift accounts. When set to False Glance
stores all images in a single Swift account."
swift_store_multiple_containers_seed,"Optional. Default: 0 Can only be specified in configuration files. This option is specific to the Swift storage backend. When set to 0, a single-tenant store will only use one container to store all
images. When set to an integer value between 1 and 32, a single-tenant store
will use multiple containers to store images, and this value will determine
how many characters from an image UUID are checked when determining what
container to place the image in. The maximum number of containers that will
be created is approximately equal to 16^N. This setting is used only when
swift_store_multi_tenant is disabled. Example: if this config option is set to 3 and
swift_store_container = ‘glance’, then an image with UUID
‘fdae39a1-bac5-4238-aba4-69bcc726e848’ would be placed in the container
‘glance_fda’. All dashes in the UUID are included when creating the container
name but do not count toward the character limit, so in this example
with N=10 the container name would be ‘glance_fdae39a1-ba’. When choosing the value for swift_store_multiple_containers_seed, deployers
should discuss a suitable value with their swift operations team. The authors
of this option recommend that large scale deployments use a value of ‘2’,
which will create a maximum of ~256 containers. Choosing a higher number than
this, even in extremely large scale deployments, may not have any positive
impact on performance and could lead to a large number of empty, unused
containers. The largest of deployments could notice an increase in
performance if swift rate limits are throttling on single container.
Note: If dynamic container creation is turned off, any value for this
configuration option higher than ‘1’ may be unreasonable as the deployer
would have to manually create each container."
swift_store_admin_tenants,"Can only be specified in configuration files. This option is specific to the Swift storage backend. Optional. Default: Not set. A list of swift ACL strings that will be applied as both read and
write ACLs to the containers created by Glance in multi-tenant
mode. This grants the specified tenants/users read and write access
to all newly created image objects. The standard swift ACL string
formats are allowed, including: <tenant_id>:<username>
<tenant_name>:<username>
*:<username> Multiple ACLs can be combined using a comma separated list, for
example: swift_store_admin_tenants = service:glance,*:admin"
swift_store_auth_version,"Can only be specified in configuration files. Deprecated. Use auth_version in the Swift back-end configuration
file instead. This option is specific to the Swift storage backend. Optional. Default: 2 A string indicating which version of Swift OpenStack authentication
to use. See the project python-swiftclient for more details."
swift_store_service_type,"Can only be specified in configuration files. This option is specific to the Swift storage backend. Optional. Default: object-store A string giving the service type of the swift service to use. This
setting is only used if swift_store_auth_version is 2 ."
swift_store_region,"Can only be specified in configuration files. This option is specific to the Swift storage backend. Optional. Default: Not set. A string giving the region of the swift service endpoint to use. This
setting is only used if swift_store_auth_version is 2 . This
setting is especially useful for disambiguation if multiple swift
services might appear in a service catalog during authentication."
swift_store_endpoint_type,"Can only be specified in configuration files. This option is specific to the Swift storage backend. Optional. Default: publicURL A string giving the endpoint type of the swift service endpoint to
use. This setting is only used if swift_store_auth_version is 2 ."
swift_store_ssl_compression,"Can only be specified in configuration files. This option is specific to the Swift storage backend. Optional. Default: True. If set to False, disables SSL layer compression of https swift
requests. Setting to ‘False’ may improve performance for images which
are already in a compressed format, e.g. qcow2. If set to True then
compression will be enabled (provided it is supported by the swift
proxy)."
swift_store_cacert,"Can only be specified in configuration files. Optional. Default: None A string giving the path to a CA certificate bundle that will allow Glance’s
services to perform SSL verification when communicating with Swift."
swift_store_retry_get_count,"The number of times a Swift download will be retried before the request
fails.
Optional. Default: 0"
swift_store_config_file,This option is specific to the Swift storage backend.
default_swift_reference,Required when multiple Swift accounts/backing stores are configured. Can only be specified in configuration files. This option is specific to the Swift storage backend. It is the default swift reference that is used to add any new images.
swift_store_auth_insecure,"If True, bypass SSL certificate verification for Swift. Can only be specified in configuration files. This option is specific to the Swift storage backend. Optional. Default: False"
user,"A project_name user_name pair in the project_name:user_name format
to authenticate against the Swift authentication service."
key,"An authentication key for a user authenticating against the Swift
authentication service."
auth_address,An address where the Swift authentication service is located.
auth_version,"A version of the authentication service to use.
Valid versions are 2 and 3 for Keystone and 1 (deprecated) for Swauth and Rackspace. Optional. Default: 2"
project_domain_id,"A domain ID of the project which is the requested project-level
authorization scope. Optional. Default: None This option can be specified if ``auth_version` is 3 .`"
project_domain_name,"A domain name of the project which is the requested project-level
authorization scope. Optional. Default: None This option can be specified if ``auth_version` is 3 .`"
user_domain_id,"A domain ID of the user which is the requested domain-level
authorization scope. Optional. Default: None This option can be specified if ``auth_version` is 3 .`"
user_domain_name,"A domain name of the user which is the requested domain-level
authorization scope. Optional. Default: None This option can be specified if ``auth_version` is 3 . `"
rbd_store_pool,Optional. Default: rbd Can only be specified in configuration files. This option is specific to the RBD storage backend. Sets the RADOS pool in which images are stored.
rbd_store_chunk_size,"Optional. Default: 8 Can only be specified in configuration files. This option is specific to the RBD storage backend. Images will be chunked into objects of this size (in megabytes).
For best performance, this should be a power of two."
rados_connect_timeout,"Optional. Default: 0 Can only be specified in configuration files. This option is specific to the RBD storage backend. Prevents glance-api hangups during the connection to RBD. Sets the time
to wait (in seconds) for glance-api before closing the connection.
Setting rados_connect_timeout<=0 means no timeout."
rbd_store_ceph_conf,"Optional. Default: /etc/ceph/ceph.conf , ~/.ceph/config , and ./ceph.conf Can only be specified in configuration files. This option is specific to the RBD storage backend. Sets the Ceph configuration file to use."
rbd_store_user,"Optional. Default: admin Can only be specified in configuration files. This option is specific to the RBD storage backend. Sets the RADOS user to authenticate as. This is only needed
when RADOS authentication is enabled."
cinder_catalog_info,"Optional. Default: volumev3::publicURL Can only be specified in configuration files. This option is specific to the Cinder storage backend. Sets the info to match when looking for cinder in the service catalog.
Format is :
separated values of the form: <service_type>:<service_name>:<endpoint_type>"
cinder_endpoint_template,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Override service catalog lookup with template for cinder endpoint. %(...)s parts are replaced by the value in the request context.
e.g. http://localhost:8776/v3/%(tenant)s"
os_region_name,Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Region name of this node. Deprecated. Use cinder_os_region_name instead.
cinder_os_region_name,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Region name of this node.  If specified, it is used to locate cinder from
the service catalog."
cinder_ca_certificates_file,Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Location of ca certificates file to use for cinder client requests.
cinder_http_retries,Optional. Default: 3 Can only be specified in configuration files. This option is specific to the Cinder storage backend. Number of cinderclient retries on failed http calls.
cinder_state_transition_timeout,"Optional. Default: 300 Can only be specified in configuration files. This option is specific to the Cinder storage backend. Time period, in seconds, to wait for a cinder volume transition to complete."
cinder_api_insecure,Optional. Default: False Can only be specified in configuration files. This option is specific to the Cinder storage backend. Allow to perform insecure SSL requests to cinder.
cinder_store_user_name,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. User name to authenticate against Cinder. If <None>, the user of current
context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.
These options are useful to put image volumes into the internal service
project in order to hide the volume from users, and to make the image
shareable among projects."
cinder_store_user_domain_name,"Optional. Default: Default Can only be specified in configuration files. This option is specific to the Cinder storage backend. Domain of the user to authenticate against cinder. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set."
