hadoop.hdfs.configuration.version,version of this configuration file,1
dfs.namenode.rpc-address," RPC address that handles all clients requests. In the case of HA/Federation where multiple namenodes exist, the name service id is added to the name e.g. dfs.namenode.rpc-address.ns1 dfs.namenode.rpc-address.EXAMPLENAMESERVICE The value of this property will take the form of nn-host1:rpc-port.  ",
dfs.namenode.rpc-bind-host," The actual address the RPC server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.namenode.rpc-address. It can also be specified per name node or name service for HA/Federation. This is useful for making the name node listen on all interfaces by setting it to 0.0.0.0.  ",
dfs.namenode.servicerpc-address," RPC address for HDFS Services communication. BackupNode, Datanodes and all other services should be connecting to this address if it is configured. In the case of HA/Federation where multiple namenodes exist, the name service id is added to the name e.g. dfs.namenode.servicerpc-address.ns1 dfs.namenode.rpc-address.EXAMPLENAMESERVICE The value of this property will take the form of nn-host1:rpc-port. If the value of this property is unset the value of dfs.namenode.rpc-address will be used as the default.  ",
dfs.namenode.servicerpc-bind-host," The actual address the service RPC server will bind to. If this optional address is set, it overrides only the hostname portion of dfs.namenode.servicerpc-address. It can also be specified per name node or name service for HA/Federation. This is useful for making the name node listen on all interfaces by setting it to 0.0.0.0.  ",
dfs.namenode.lifeline.rpc-address," NameNode RPC lifeline address.  This is an optional separate RPC address that can be used to isolate health checks and liveness to protect against resource exhaustion in the main RPC handler pool.  In the case of HA/Federation where multiple NameNodes exist, the name service ID is added to the name e.g. dfs.namenode.lifeline.rpc-address.ns1.  The value of this property will take the form of nn-host1:rpc-port.  If this property is not defined, then the NameNode will not start a lifeline RPC server.  By default, the property is not defined.  ",
dfs.namenode.lifeline.rpc-bind-host," The actual address the lifeline RPC server will bind to.  If this optional address is set, it overrides only the hostname portion of dfs.namenode.lifeline.rpc-address.  It can also be specified per name node or name service for HA/Federation.  This is useful for making the name node listen on all interfaces by setting it to 0.0.0.0.  ",
dfs.namenode.secondary.http-address, The secondary namenode http server address and port.  ,0.0.0.0:50090
dfs.namenode.secondary.https-address, The secondary namenode HTTPS server address and port.  ,0.0.0.0:50091
dfs.datanode.address, The datanode server address and port for data transfer.  ,0.0.0.0:50010
dfs.datanode.http.address, The datanode http server address and port.  ,0.0.0.0:50075
dfs.datanode.ipc.address, The datanode ipc server address and port.  ,0.0.0.0:50020
