type,start_lineno,end_lineno,filepath
Try,45,62,apps/cinder/doc/ext/driver_opts.py
If,68,69,apps/cinder/doc/ext/driver_opts.py
If,71,72,apps/cinder/doc/ext/driver_opts.py
If,75,76,apps/cinder/doc/ext/driver_opts.py
If,83,84,apps/cinder/doc/ext/driver_opts.py
For,114,120,apps/cinder/doc/ext/driver_opts.py
For,126,135,apps/cinder/doc/ext/driver_opts.py
For,47,60,apps/cinder/doc/ext/driver_opts.py
If,116,120,apps/cinder/doc/ext/driver_opts.py
If,49,50,apps/cinder/doc/ext/driver_opts.py
If,51,52,apps/cinder/doc/ext/driver_opts.py
If,54,60,apps/cinder/doc/ext/driver_opts.py
If,57,60,apps/cinder/doc/ext/driver_opts.py
IfExp,134,134,apps/cinder/doc/ext/driver_opts.py
If,68,74,apps/cinder/cinder/rpc.py
If,83,84,apps/cinder/cinder/rpc.py
If,146,147,apps/cinder/cinder/rpc.py
If,157,158,apps/cinder/cinder/rpc.py
If,173,174,apps/cinder/cinder/rpc.py
If,175,176,apps/cinder/cinder/rpc.py
If,183,184,apps/cinder/cinder/rpc.py
If,112,113,apps/cinder/cinder/rpc.py
If,117,118,apps/cinder/cinder/rpc.py
If,123,131,apps/cinder/cinder/rpc.py
If,136,138,apps/cinder/cinder/rpc.py
For,226,228,apps/cinder/cinder/rpc.py
If,241,242,apps/cinder/cinder/rpc.py
If,243,244,apps/cinder/cinder/rpc.py
If,250,251,apps/cinder/cinder/rpc.py
If,255,258,apps/cinder/cinder/rpc.py
If,268,269,apps/cinder/cinder/rpc.py
If,275,276,apps/cinder/cinder/rpc.py
If,125,131,apps/cinder/cinder/rpc.py
If,137,138,apps/cinder/cinder/rpc.py
If,189,196,apps/cinder/cinder/rpc.py
If,227,228,apps/cinder/cinder/rpc.py
If,57,66,apps/cinder/cinder/service_auth.py
If,71,76,apps/cinder/cinder/service_auth.py
If,81,84,apps/cinder/cinder/service_auth.py
If,87,89,apps/cinder/cinder/service_auth.py
If,59,65,apps/cinder/cinder/service_auth.py
If,73,75,apps/cinder/cinder/service_auth.py
If,62,65,apps/cinder/cinder/service_auth.py
For,83,89,apps/cinder/cinder/utils.py
Try,91,95,apps/cinder/cinder/utils.py
Try,103,108,apps/cinder/cinder/utils.py
Try,110,114,apps/cinder/cinder/utils.py
Try,119,122,apps/cinder/cinder/utils.py
Try,124,127,apps/cinder/cinder/utils.py
If,129,130,apps/cinder/cinder/utils.py
If,145,146,apps/cinder/cinder/utils.py
For,150,152,apps/cinder/cinder/utils.py
If,154,165,apps/cinder/cinder/utils.py
If,170,171,apps/cinder/cinder/utils.py
For,180,207,apps/cinder/cinder/utils.py
If,214,215,apps/cinder/cinder/utils.py
If,216,218,apps/cinder/cinder/utils.py
For,220,234,apps/cinder/cinder/utils.py
If,257,258,apps/cinder/cinder/utils.py
If,263,265,apps/cinder/cinder/utils.py
If,270,271,apps/cinder/cinder/utils.py
If,272,325,apps/cinder/cinder/utils.py
If,350,351,apps/cinder/cinder/utils.py
For,353,374,apps/cinder/cinder/utils.py
