id,filepath,controlflow_type,cf_start_lineno,cf_end_lineno,var1_lineno,var2_lineno,var1,localvar1,var2,localvar2,relation
1,apps/cinder/cinder/api/api_utils.py,,,,202,202,cafile,_keystone_client.CONF.keystone_authtoken.cafile,certfile,_keystone_client.CONF.keystone_authtoken.certfile,same_line
2,apps/cinder/cinder/api/api_utils.py,,,,202,202,cafile,_keystone_client.CONF.keystone_authtoken.cafile,insecure,_keystone_client.CONF.keystone_authtoken.insecure,same_line
3,apps/cinder/cinder/api/api_utils.py,,,,202,202,cafile,_keystone_client.CONF.keystone_authtoken.cafile,keyfile,_keystone_client.CONF.keystone_authtoken.keyfile,same_line
4,apps/cinder/cinder/api/api_utils.py,,,,202,202,certfile,_keystone_client.CONF.keystone_authtoken.certfile,insecure,_keystone_client.CONF.keystone_authtoken.insecure,same_line
5,apps/cinder/cinder/api/api_utils.py,,,,202,202,certfile,_keystone_client.CONF.keystone_authtoken.certfile,keyfile,_keystone_client.CONF.keystone_authtoken.keyfile,same_line
6,apps/cinder/cinder/api/api_utils.py,,,,202,202,insecure,_keystone_client.CONF.keystone_authtoken.insecure,keyfile,_keystone_client.CONF.keystone_authtoken.keyfile,same_line
7,apps/cinder/cinder/api/middleware/auth.py,If,50,52,50,51,api_rate_limit,CONF.api_rate_limit,auth_strategy,CONF.auth_strategy,same_controlflow
8,apps/cinder/cinder/api/middleware/auth.py,If,50,52,50,51,api_rate_limit,CONF.api_rate_limit,auth_strategy,pipeline_factory.CONF.auth_strategy,same_controlflow
9,apps/cinder/cinder/api/middleware/auth.py,If,50,52,50,52,api_rate_limit,CONF.api_rate_limit,auth_strategy,pipeline_factory.limit_name,same_controlflow
10,apps/cinder/cinder/api/middleware/auth.py,If,50,52,50,52,api_rate_limit,CONF.api_rate_limit,auth_strategy,pipeline_factory.pipeline,same_controlflow
11,apps/cinder/cinder/backup/manager.py,,,,172,172,backup_driver,CONF.backup_driver_init_check_interval,backup_driver_init_check_interval,CONF.backup_driver_init_check_interval,same_line
12,apps/cinder/cinder/backup/manager.py,,,,1219,1219,num_volume_device_scan_tries,_connect_device.device_scan_attempts,use_multipath_for_image_xfer,_connect_device.use_multipath,same_line
13,apps/cinder/cinder/backup/manager.py,,,,1219,1219,num_volume_device_scan_tries,_connect_device.device_scan_attempts,use_multipath_for_image_xfer,_connect_device.use_multipath,same_line
14,apps/cinder/cinder/backup/manager.py,,,,1219,1219,num_volume_device_scan_tries,_connect_device.device_scan_attempts,use_multipath_for_image_xfer,_connect_device.use_multipath,same_line
15,apps/cinder/cinder/backup/manager.py,,,,1219,1219,num_volume_device_scan_tries,_connect_device.device_scan_attempts,use_multipath_for_image_xfer,_connect_device.use_multipath,same_line
16,apps/cinder/cinder/backup/manager.py,,,,1225,1225,num_volume_device_scan_tries,_connect_device.connector,use_multipath_for_image_xfer,_connect_device.connector,same_line
17,apps/cinder/cinder/backup/manager.py,,,,1225,1225,num_volume_device_scan_tries,_connect_device.connector,use_multipath_for_image_xfer,_connect_device.connector,same_line
18,apps/cinder/cinder/backup/manager.py,,,,1225,1225,num_volume_device_scan_tries,_connect_device.connector,use_multipath_for_image_xfer,_connect_device.connector,same_line
19,apps/cinder/cinder/backup/manager.py,,,,1225,1225,num_volume_device_scan_tries,_connect_device.connector,use_multipath_for_image_xfer,_connect_device.connector,same_line
20,apps/cinder/cinder/backup/manager.py,,,,1251,1251,backup_driver,CONF.backup_driver_stats_polling_interval,backup_driver_stats_polling_interval,CONF.backup_driver_stats_polling_interval,same_line
21,apps/cinder/cinder/backup/manager.py,Try,169,178,170,172,backup_driver,setup_backup_backend.self._setup_backup_driver,backup_driver_init_check_interval,CONF.backup_driver_init_check_interval,same_controlflow
22,apps/cinder/cinder/backup/manager.py,Try,169,178,171,172,backup_driver,self._setup_backup_driver,backup_driver_init_check_interval,CONF.backup_driver_init_check_interval,same_controlflow
23,apps/cinder/cinder/backup/manager.py,Try,169,178,172,172,backup_driver,CONF.backup_driver_init_check_interval,backup_driver_init_check_interval,CONF.backup_driver_init_check_interval,same_controlflow
24,apps/cinder/cinder/cmd/status.py,For,57,62,62,57,enabled_backends,CONF.enabled_backends,volume_driver,volume_drivers.append,same_controlflow
25,apps/cinder/cinder/cmd/status.py,If,55,62,62,55,enabled_backends,CONF.enabled_backends,volume_driver,volume_drivers.append,same_controlflow
