x,throuput,max
1,238323.69,238323.69
2,193868.1429,238323.69
3,200483.1317,238323.69
4,238323.69,238323.69
5,158378.9501,238323.69
6,203108.9088,238323.69
7,187316.6747,238323.69
8,171502.0266,238323.69
9,228542.4991,238323.69
10,166533.5508,238323.69
11,166886.1907,238323.69
12,197437.2283,238323.69
13,238323.69,238323.69
14,237737.2867,238323.69
15,231802.0736,238323.69
16,177338.0726,238323.69
17,182359.0979,238323.69
18,238323.69,238323.69
19,238323.69,238323.69
20,187544.7455,238323.69
21,211667.2079,238323.69
22,168766.2129,238323.69
23,175562.7724,238323.69
24,234374.0457,238323.69
25,220805.661,238323.69
26,194736.8604,238323.69
27,218766.8345,238323.69
28,238323.69,238323.69
29,238323.69,238323.69
30,238323.69,238323.69
31,203502.9087,238323.69
32,180616.5422,238323.69
33,212481.5597,238323.69
34,197016.3829,238323.69
35,238323.69,238323.69
36,210566.3414,238323.69
37,238323.69,238323.69
38,201714.2215,238323.69
39,237294.0545,238323.69
40,238323.69,238323.69
41,186259.3418,238323.69
42,236316.4258,238323.69
43,176830.4812,238323.69
44,236668.512,238323.69
45,224169.0668,238323.69
46,201740.4791,238323.69
47,207284.1294,238323.69
48,238323.69,238323.69
49,188802.0734,238323.69
50,186702.0708,238323.69
51,208749.965,238323.69
52,198131.37,238323.69
53,238323.69,238323.69
54,217241.6501,238323.69
55,238323.69,238323.69
56,152946.0772,238323.69
57,166872.2257,238323.69
58,159760.4742,238323.69
59,209153.5272,238323.69
60,238323.69,238323.69
61,210915.9632,238323.69
62,236898.7834,238323.69
63,217008.3078,238323.69
64,186858.2096,238323.69
65,238323.69,238323.69
66,170904.1862,238323.69
67,221829.8173,238323.69
68,195171.3504,238323.69
69,213860.9451,238323.69
70,238323.69,238323.69
71,195245.4395,238323.69
72,227988.1526,238323.69
73,178186.9043,238323.69
74,154244.2882,238323.69
75,218444.4744,238323.69
76,215025.4984,238323.69
77,219360.61,238323.69
78,238323.69,238323.69
79,223154.233,238323.69
80,215704.6081,238323.69
81,238323.69,238323.69
82,171696.4695,238323.69
83,217404.5576,238323.69
84,185843.6731,238323.69
85,185816.0482,238323.69
86,238323.69,238323.69
87,186691.6176,238323.69
88,197701.2511,238323.69
89,207686.575,238323.69
90,238323.69,238323.69
91,238323.69,238323.69
92,201038.1872,238323.69
93,217058.2296,238323.69
94,156597.9305,238323.69
95,157979.9767,238323.69
96,222188.8054,238323.69
97,236615.0581,238323.69
98,164212.4408,238323.69
99,238323.69,238323.69
100,160286.4345,238323.69
101,238323.69,238323.69
102,238323.69,238323.69
103,238323.69,238323.69
104,238323.69,238323.69
105,217745.299,238323.69
106,186286.617,238323.69
107,207096.0185,238323.69
108,238323.69,238323.69
109,238323.69,238323.69
110,238323.69,238323.69
111,180025.2198,238323.69
112,165151.4506,238323.69
113,212328.7133,238323.69
114,155845.3711,238323.69
115,182101.9132,238323.69
116,174526.6912,238323.69
117,238323.69,238323.69
118,238323.69,238323.69
119,158828.1765,238323.69
120,240731,240731
