ID,Option A,Option B,Option A Description,Option B Description
1,hbase.rootdir,hbase.tmp.dir,"The directory shared by region servers and into which HBase persists.  The URL should be 'fully-qualified' to include the filesystem scheme.  For example, to specify the HDFS directory '/hbase' where the HDFS instance's namenode is running at namenode.example.org on port 9000, set this value to: hdfs://namenode.example.org:9000/hbase.  By default, we write to whatever ${hbase.tmp.dir} is set too -- usually /tmp -- so change this configuration or else all data will be lost on machine restart.","Temporary directory on the local filesystem. Change this setting to point to a location more permanent than '/tmp', the usual resolve for java.io.tmpdir, as the '/tmp' directory is cleared on machine restart."
2,hbase.zookeeper.quorum,hbase.zookeeper.property.clientPort,"Comma separated list of servers in the ZooKeeper ensemble (This config. should have been named hbase.zookeeper.ensemble). For example, ""host1.mydomain.com,host2.mydomain.com,host3.mydomain.com"". By default this is set to localhost for local and pseudo-distributed modes of operation. For a fully-distributed setup, this should be set to a full list of ZooKeeper ensemble servers. If HBASE_MANAGES_ZK is set in hbase-env.sh this is the list of servers which hbase will start/stop ZooKeeper on as part of cluster start/stop.  Client-side, we will take this list of ensemble members and put it together with the hbase.zookeeper.property.clientPort config. and pass it into zookeeper constructor as the connectString parameter.",Property from ZooKeeper's config zoo.cfg. The port at which the clients will connect.
3,hbase.master.logcleaner.ttl,hbase.rootdir,"How long a WAL remain in the archive ({hbase.rootdir}/oldWALs) directory, after which it will be cleaned by a Master thread. The value is in milliseconds.","The directory shared by region servers and into which HBase persists.  The URL should be 'fully-qualified' to include the filesystem scheme.  For example, to specify the HDFS directory '/hbase' where the HDFS instance's namenode is running at namenode.example.org on port 9000, set this value to: hdfs://namenode.example.org:9000/hbase.  By default, we write to whatever ${hbase.tmp.dir} is set too -- usually /tmp -- so change this configuration or else all data will be lost on machine restart."
4,hbase.master.infoserver.redirect,hbase.master.info.port,Whether or not the Master listens to the Master web   UI port (hbase.master.info.port) and redirects requests to the web   UI server shared by the Master and RegionServer. Config. makes   sense when Master is serving Regions (not the default).,The port for the HBase Master web UI. Set to -1 if you do not want a UI instance run.
5,hbase.regionserver.info.port.auto,hbase.regionserver.info.port,"Whether or not the Master or RegionServer UI should search for a port to bind to. Enables automatic port search if hbase.regionserver.info.port is already in use. Useful for testing, turned off by default.",The port for the HBase RegionServer web UI Set to -1 if you do not want the RegionServer UI to run.
6,hbase.regionserver.global.memstore.size,hbase.regionserver.global.memstore.size.lower.limit,Maximum size of all memstores in a region server before new   updates are blocked and flushes are forced. Defaults to 40% of heap (0.4).   Updates are blocked and flushes are forced until size of all memstores   in a region server hits hbase.regionserver.global.memstore.size.lower.limit.   The default value in this configuration has been intentionally left empty in order to   honor the old hbase.regionserver.global.memstore.upperLimit property if present. ,Maximum size of all memstores in a region server before flushes   are forced. Defaults to 95% of hbase.regionserver.global.memstore.size   (0.95). A 100% value for this value causes the minimum possible flushing   to occur when updates are blocked due to memstore limiting. The default   value in this configuration has been intentionally left empty in order to   honor the old hbase.regionserver.global.memstore.lowerLimit property if   present. 
7,hbase.regionserver.global.memstore.size.lower.limit,hbase.regionserver.global.memstore.size,Maximum size of all memstores in a region server before flushes   are forced. Defaults to 95% of hbase.regionserver.global.memstore.size   (0.95). A 100% value for this value causes the minimum possible flushing   to occur when updates are blocked due to memstore limiting. The default   value in this configuration has been intentionally left empty in order to   honor the old hbase.regionserver.global.memstore.lowerLimit property if   present. ,Maximum size of all memstores in a region server before new   updates are blocked and flushes are forced. Defaults to 40% of heap (0.4).   Updates are blocked and flushes are forced until size of all memstores   in a region server hits hbase.regionserver.global.memstore.size.lower.limit.   The default value in this configuration has been intentionally left empty in order to   honor the old hbase.regionserver.global.memstore.upperLimit property if present. 
8,hbase.client.write.buffer,hbase.regionserver.handler.count,"Default size of the BufferedMutator write buffer in bytes. A bigger buffer takes more memory -- on both the client and server side since server instantiates the passed write buffer to process it -- but a larger buffer size reduces the number of RPCs made. For an estimate of server-side memory-used, evaluate hbase.client.write.buffer * hbase.regionserver.handler.count","Count of RPC Listener instances spun up on RegionServers.   Same property is used by the Master for count of master handlers.   Too many handlers can be counter-productive. Make it a multiple of   CPU count. If mostly read-only, handlers count close to cpu count   does well. Start with twice the CPU count and tune from there."
9,hbase.client.pause,hbase.client.retries.number,"General client pause value.  Used mostly as value to wait before running a retry of a failed get, region lookup, etc. See hbase.client.retries.number for description of how we backoff from this initial pause amount and how this pause works w/ retries.","Maximum retries.  Used as maximum for all retryable operations such as the getting of a cell's value, starting a row update, etc.  Retry interval is a rough function based on hbase.client.pause.  At first we retry at this interval but then with backoff, we pretty quickly reach retrying every ten seconds.  See HConstants#RETRY_BACKOFF for how the backup ramps up.  Change this setting and hbase.client.pause to suit your workload."
10,hbase.client.pause.server.overloaded,hbase.client.pause,"Pause time when encountering an exception indicating a server is overloaded, CallQueueTooBigException or CallDroppedException. Set this property to a higher value than hbase.client.pause if you observe frequent CallQueueTooBigException or CallDroppedException from the same RegionServer and the call queue there keeps filling up. This config used to be called hbase.client.pause.cqtbe, which has been deprecated as of 2.5.0.","General client pause value.  Used mostly as value to wait before running a retry of a failed get, region lookup, etc. See hbase.client.retries.number for description of how we backoff from this initial pause amount and how this pause works w/ retries."
11,hbase.client.retries.number,hbase.client.pause,"Maximum retries.  Used as maximum for all retryable operations such as the getting of a cell's value, starting a row update, etc.  Retry interval is a rough function based on hbase.client.pause.  At first we retry at this interval but then with backoff, we pretty quickly reach retrying every ten seconds.  See HConstants#RETRY_BACKOFF for how the backup ramps up.  Change this setting and hbase.client.pause to suit your workload.","General client pause value.  Used mostly as value to wait before running a retry of a failed get, region lookup, etc. See hbase.client.retries.number for description of how we backoff from this initial pause amount and how this pause works w/ retries."
12,hbase.client.scanner.caching,hbase.client.scanner.timeout.period,"Number of rows that we try to fetch when calling next on a scanner if it is not served from (local, client) memory. This configuration works together with hbase.client.scanner.max.result.size to try and use the network efficiently. The default value is Integer.MAX_VALUE by default so that the network will fill the chunk size defined by hbase.client.scanner.max.result.size rather than be limited by a particular number of rows since the size of rows varies table to table. If you know ahead of time that you will not require more than a certain number of rows from a scan, this configuration should be set to that row limit via Scan#setCaching. Higher caching values will enable faster scanners but will eat up more memory and some calls of next may take longer and longer times when the cache is empty. Do not set this value such that the time between invocations is greater than the scanner timeout; i.e. hbase.client.scanner.timeout.period",Client scanner lease period in milliseconds.
13,hbase.client.scanner.caching,hbase.client.scanner.max.result.size,"Number of rows that we try to fetch when calling next on a scanner if it is not served from (local, client) memory. This configuration works together with hbase.client.scanner.max.result.size to try and use the network efficiently. The default value is Integer.MAX_VALUE by default so that the network will fill the chunk size defined by hbase.client.scanner.max.result.size rather than be limited by a particular number of rows since the size of rows varies table to table. If you know ahead of time that you will not require more than a certain number of rows from a scan, this configuration should be set to that row limit via Scan#setCaching. Higher caching values will enable faster scanners but will eat up more memory and some calls of next may take longer and longer times when the cache is empty. Do not set this value such that the time between invocations is greater than the scanner timeout; i.e. hbase.client.scanner.timeout.period","Maximum number of bytes returned when calling a scanner's next method. Note that when a single row is larger than this limit the row is still returned completely. The default value is 2MB, which is good for 1ge networks. With faster and/or high latency networks this value should be increased. "
14,hbase.server.thread.wakefrequency,hbase.regionserver.flush.check.period,"In master side, this config is the period used for FS related behaviors:   checking if hdfs is out of safe mode, setting or checking hbase.version file,   setting or checking hbase.id file. Using default value should be fine.   In regionserver side, this config is used in several places: flushing check interval,   compaction check interval, wal rolling check interval. Specially, admin can tune   flushing and compaction check interval by hbase.regionserver.flush.check.period   and hbase.regionserver.compaction.check.period. (in milliseconds)","It determines the flushing check period of PeriodicFlusher in regionserver.   If unset, it uses hbase.server.thread.wakefrequency as default value.   (in milliseconds)"
15,hbase.server.thread.wakefrequency,hbase.regionserver.compaction.check.period,"In master side, this config is the period used for FS related behaviors:   checking if hdfs is out of safe mode, setting or checking hbase.version file,   setting or checking hbase.id file. Using default value should be fine.   In regionserver side, this config is used in several places: flushing check interval,   compaction check interval, wal rolling check interval. Specially, admin can tune   flushing and compaction check interval by hbase.regionserver.flush.check.period   and hbase.regionserver.compaction.check.period. (in milliseconds)","It determines the compaction check period of CompactionChecker in regionserver.   If unset, it uses hbase.server.thread.wakefrequency as default value.   (in milliseconds)"
16,hbase.regionserver.flush.check.period,hbase.server.thread.wakefrequency,"It determines the flushing check period of PeriodicFlusher in regionserver.   If unset, it uses hbase.server.thread.wakefrequency as default value.   (in milliseconds)","In master side, this config is the period used for FS related behaviors:   checking if hdfs is out of safe mode, setting or checking hbase.version file,   setting or checking hbase.id file. Using default value should be fine.   In regionserver side, this config is used in several places: flushing check interval,   compaction check interval, wal rolling check interval. Specially, admin can tune   flushing and compaction check interval by hbase.regionserver.flush.check.period   and hbase.regionserver.compaction.check.period. (in milliseconds)"
