ID,Option A,Option B,Option A Description,Option B Description
1,osapi_volume_ext_list,osapi_volume_extension,(List of String) Specify list of extensions to load when using osapi_volume_extension option with cinder.api.contrib.select_extensions,(String) osapi volume extension to load
2,init_host_max_objects_retrieval,host,(Integer) Max number of volumes and snapshots to be retrieved per batch during volume manager host initialization. Query results will be obtained in batches from the database and not in one shot to avoid extreme memory usage. Set 0 to turn off this functionality.,"(String) Name of this node.  This can be an opaque identifier. It is not necessarily a host name, FQDN, or IP address."
3,scheduler_default_filters,host,(List of String) Which filter class names to use for filtering hosts when not specified in the request.,"(String) Name of this node.  This can be an opaque identifier. It is not necessarily a host name, FQDN, or IP address."
4,scheduler_default_weighers,host,(List of String) Which weigher class names to use for weighing hosts.,"(String) Name of this node.  This can be an opaque identifier. It is not necessarily a host name, FQDN, or IP address."
5,scheduler_host_manager,host,(String) The scheduler host manager class to use,"(String) Name of this node.  This can be an opaque identifier. It is not necessarily a host name, FQDN, or IP address."
6,scheduler_weight_handler,host,(String) Which handler to use for selecting the host/pool after weighing,"(String) Name of this node.  This can be an opaque identifier. It is not necessarily a host name, FQDN, or IP address."
7,glance_api_insecure,insecure,(Boolean) Allow to perform insecure SSL (https) requests to glance (https will be used but cert validation will not be performed).,(Boolean) Verify HTTPS connections.
8,glance_api_servers,host,(List of String) A list of the URLs of glance API servers available to cinder ([http[s]://][hostname|ip]:port). If protocol is not specified it defaults to http.,"(String) Name of this node.  This can be an opaque identifier. It is not necessarily a host name, FQDN, or IP address."
9,glance_catalog_info,glance_api_servers,(String) Info to match when looking for glance in the service catalog. Format is: separated values of the form: <service_type>:<service_name>:<endpoint_type> - Only used if glance_api_servers are not provided.,(List of String) A list of the URLs of glance API servers available to cinder ([http[s]://][hostname|ip]:port). If protocol is not specified it defaults to http.
10,glance_request_timeout,timeout,"(Integer) http/https timeout value for glance operations. If no value (None) is supplied here, the glanceclient default value is used.",(Integer) Timeout value for http requests
