ID,Option A,Option B,Option A Description,Option B Description
1,hadoop.security.dns.nameserver,hadoop.security.dns.interface, The host name or IP address of the name server (DNS) which a service Node should use to determine its own host name for Kerberos Login. Requires hadoop.security.dns.interface. Most clusters will not require this setting.  ," The name of the Network Interface from which the service should determine its host name for Kerberos login. e.g. eth2. In a multi-homed environment, the setting can be used to affect the _HOST substitution in the service Kerberos principal. If this configuration value is not set, the service will use its default hostname as returned by InetAddress.getLocalHost().getCanonicalHostName(). Most clusters will not require this setting.  "
2,hadoop.security.groups.cache.background.reload,hadoop.security.groups.cache.background.reload.threads," Whether to reload expired user->group mappings using a background thread pool. If set to true, a pool of hadoop.security.groups.cache.background.reload.threads is created to update the cache in the background.  ", Only relevant if hadoop.security.groups.cache.background.reload is true. Controls the number of concurrent background user->group cache entry refreshes. Pending refresh requests beyond this value are queued and processed when a thread is free.  
3,hadoop.security.groups.cache.background.reload.threads,hadoop.security.groups.cache.background.reload, Only relevant if hadoop.security.groups.cache.background.reload is true. Controls the number of concurrent background user->group cache entry refreshes. Pending refresh requests beyond this value are queued and processed when a thread is free.  ," Whether to reload expired user->group mappings using a background thread pool. If set to true, a pool of hadoop.security.groups.cache.background.reload.threads is created to update the cache in the background.  "
4,hadoop.security.group.mapping.ldap.ssl.keystore.password.file,hadoop.security.group.mapping," The path to a file containing the password of the LDAP SSL keystore. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.ssl.keystore.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.  "," Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used.  This implementation shells out to the Linux/Unix environment with the "
5,hadoop.security.group.mapping.ldap.ssl.keystore.password.file,hadoop.security.group.mapping.ldap.ssl," The path to a file containing the password of the LDAP SSL keystore. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.ssl.keystore.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.  ", Whether or not to use SSL when connecting to the LDAP server.  
6,hadoop.security.group.mapping.ldap.ssl.keystore.password.file,hadoop.security.group.mapping.ldap.ssl.keystore," The path to a file containing the password of the LDAP SSL keystore. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.ssl.keystore.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.  ", File path to the SSL keystore that contains the SSL certificate required by the LDAP server.  
7,hadoop.security.group.mapping.ldap.ssl.keystore.password.file,hadoop.security.group.mapping.ldap.ssl.keystore.password," The path to a file containing the password of the LDAP SSL keystore. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.ssl.keystore.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.  ", The password of the LDAP SSL keystore. this property name is used as an alias to get the password from credential providers. If the password can not be found and hadoop.security.credential.clear-text-fallback is true LDAPGroupsMapping uses the value of this property for password.  
8,hadoop.security.group.mapping.ldap.ssl.keystore.password,hadoop.security.credential.clear-text-fallback, The password of the LDAP SSL keystore. this property name is used as an alias to get the password from credential providers. If the password can not be found and hadoop.security.credential.clear-text-fallback is true LDAPGroupsMapping uses the value of this property for password.  , true or false to indicate whether or not to fall back to storing credential password as clear text. The default value is true. This property only works when the password can't not be found from credential providers.  
9,hadoop.security.group.mapping.ldap.bind.password.file,hadoop.security.group.mapping," The path to a file containing the password of the bind user. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.bind.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.  "," Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used.  This implementation shells out to the Linux/Unix environment with the "
10,hadoop.security.group.mapping.ldap.bind.password.file,hadoop.security.group.mapping.ldap.bind.password," The path to a file containing the password of the bind user. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.bind.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.  ", The password of the bind user. this property name is used as an alias to get the password from credential providers. If the password can not be found and hadoop.security.credential.clear-text-fallback is true LDAPGroupsMapping uses the value of this property for password.  
11,hadoop.security.group.mapping.ldap.bind.password,hadoop.security.credential.clear-text-fallback, The password of the bind user. this property name is used as an alias to get the password from credential providers. If the password can not be found and hadoop.security.credential.clear-text-fallback is true LDAPGroupsMapping uses the value of this property for password.  , true or false to indicate whether or not to fall back to storing credential password as clear text. The default value is true. This property only works when the password can't not be found from credential providers.  
12,hadoop.security.group.mapping.ldap.userbase,hadoop.security.group.mapping," The search base for the LDAP connection for user search query. This is a distinguished name, and its the root of the LDAP directory for users. If not set, hadoop.security.group.mapping.ldap.base is used.  "," Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used.  This implementation shells out to the Linux/Unix environment with the "
13,hadoop.security.group.mapping.ldap.userbase,hadoop.security.group.mapping.ldap.base," The search base for the LDAP connection for user search query. This is a distinguished name, and its the root of the LDAP directory for users. If not set, hadoop.security.group.mapping.ldap.base is used.  "," The search base for the LDAP connection. This is a distinguished name, and will typically be the root of the LDAP directory.  "
14,hadoop.security.group.mapping.ldap.groupbase,hadoop.security.group.mapping," The search base for the LDAP connection for group search . This is a distinguished name, and its the root of the LDAP directory for groups. If not set, hadoop.security.group.mapping.ldap.base is used.  "," Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used.  This implementation shells out to the Linux/Unix environment with the "
15,hadoop.security.group.mapping.ldap.groupbase,hadoop.security.group.mapping.ldap.base," The search base for the LDAP connection for group search . This is a distinguished name, and its the root of the LDAP directory for groups. If not set, hadoop.security.group.mapping.ldap.base is used.  "," The search base for the LDAP connection. This is a distinguished name, and will typically be the root of the LDAP directory.  "
16,hadoop.security.group.mapping.ldap.search.filter.user,hadoop.security.group.mapping," An additional filter to use when searching for LDAP users. The default will usually be appropriate for Active Directory installations. If connecting to an LDAP server with a non-AD schema, this should be replaced with (&(objectClass=inetOrgPerson)(uid={0}). {0} is a special string used to denote where the username fits into the filter. If the LDAP server supports posixGroups, Hadoop can enable the feature by setting the value of this property to ""posixAccount"" and the value of the hadoop.security.group.mapping.ldap.search.filter.group property to ""posixGroup"".  "," Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used.  This implementation shells out to the Linux/Unix environment with the "
17,hadoop.security.group.mapping.ldap.search.filter.user,hadoop.security.group.mapping.ldap.search.filter.group," An additional filter to use when searching for LDAP users. The default will usually be appropriate for Active Directory installations. If connecting to an LDAP server with a non-AD schema, this should be replaced with (&(objectClass=inetOrgPerson)(uid={0}). {0} is a special string used to denote where the username fits into the filter. If the LDAP server supports posixGroups, Hadoop can enable the feature by setting the value of this property to ""posixAccount"" and the value of the hadoop.security.group.mapping.ldap.search.filter.group property to ""posixGroup"".  ", An additional filter to use when searching for LDAP groups. This should be changed when resolving groups against a non-Active Directory installation. See the description of hadoop.security.group.mapping.ldap.search.filter.user to enable posixGroups support.  
18,hadoop.security.group.mapping.ldap.search.filter.group,hadoop.security.group.mapping, An additional filter to use when searching for LDAP groups. This should be changed when resolving groups against a non-Active Directory installation. See the description of hadoop.security.group.mapping.ldap.search.filter.user to enable posixGroups support.  ," Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used.  This implementation shells out to the Linux/Unix environment with the "
19,hadoop.security.group.mapping.ldap.search.filter.group,hadoop.security.group.mapping.ldap.search.filter.user, An additional filter to use when searching for LDAP groups. This should be changed when resolving groups against a non-Active Directory installation. See the description of hadoop.security.group.mapping.ldap.search.filter.user to enable posixGroups support.  ," An additional filter to use when searching for LDAP users. The default will usually be appropriate for Active Directory installations. If connecting to an LDAP server with a non-AD schema, this should be replaced with (&(objectClass=inetOrgPerson)(uid={0}). {0} is a special string used to denote where the username fits into the filter. If the LDAP server supports posixGroups, Hadoop can enable the feature by setting the value of this property to ""posixAccount"" and the value of the hadoop.security.group.mapping.ldap.search.filter.group property to ""posixGroup"".  "
20,hadoop.security.group.mapping.ldap.search.group.hierarchy.levels,hadoop.security.group.mapping, The number of levels to go up the group hierarchy when determining which groups a user is part of. 0 Will represent checking just the group that the user belongs to.  Each additional level will raise the time it takes to execute a query by at most hadoop.security.group.mapping.ldap.directory.search.timeout. The default will usually be appropriate for all LDAP systems.  ," Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used.  This implementation shells out to the Linux/Unix environment with the "
21,hadoop.security.group.mapping.ldap.search.group.hierarchy.levels,hadoop.security.group.mapping.ldap.directory.search.timeout, The number of levels to go up the group hierarchy when determining which groups a user is part of. 0 Will represent checking just the group that the user belongs to.  Each additional level will raise the time it takes to execute a query by at most hadoop.security.group.mapping.ldap.directory.search.timeout. The default will usually be appropriate for all LDAP systems.  , The attribute applied to the LDAP SearchControl properties to set a maximum time limit when searching and awaiting a result. Set to 0 if infinite wait period is desired. Default is 10 seconds. Units in milliseconds.  
22,hadoop.rpc.protection,hadoop.security.saslproperties.resolver.class,"A comma-separated list of protection values for secured sasl   connections. Possible values are authentication, integrity and privacy.   authentication means authentication only and no integrity or privacy;   integrity implies authentication and integrity are enabled; and privacy   implies all of authentication, integrity and privacy are enabled.   hadoop.security.saslproperties.resolver.class can be used to override   the hadoop.rpc.protection for a connection at the server side.  ","SaslPropertiesResolver used to resolve the QOP used for a   connection. If not specified, the full set of values specified in   hadoop.rpc.protection is used while determining the QOP used for the   connection. If a class is specified, then the QOP values returned by   the class will be used while determining the QOP used for the connection.  "
23,hadoop.security.saslproperties.resolver.class,hadoop.rpc.protection,"SaslPropertiesResolver used to resolve the QOP used for a   connection. If not specified, the full set of values specified in   hadoop.rpc.protection is used while determining the QOP used for the   connection. If a class is specified, then the QOP values returned by   the class will be used while determining the QOP used for the connection.  ","A comma-separated list of protection values for secured sasl   connections. Possible values are authentication, integrity and privacy.   authentication means authentication only and no integrity or privacy;   integrity implies authentication and integrity are enabled; and privacy   implies all of authentication, integrity and privacy are enabled.   hadoop.security.saslproperties.resolver.class can be used to override   the hadoop.rpc.protection for a connection at the server side.  "
24,io.bytes.per.checksum,io.file.buffer.size,The number of bytes per checksum.  Must not be larger than  io.file.buffer.size.,"The size of buffer for use in sequence files.  The size of this buffer should probably be a multiple of hardware  page size (4096 on Intel x86), and it determines how much data is  buffered during read and write operations."
25,fs.default.name,fs.defaultFS,Deprecated. Use (fs.defaultFS) property  instead,"The name of the default file system.  A URI whose  scheme and authority determine the FileSystem implementation.  The  uri's scheme determines the config property (fs.SCHEME.impl) naming  the FileSystem implementation class.  The uri's authority is used to  determine the host, port, etc. for a filesystem."
26,fs.trash.checkpoint.interval,fs.trash.interval,"Number of minutes between trash checkpoints.  Should be smaller or equal to fs.trash.interval. If zero,  the value is set to the value of fs.trash.interval.  Every time the checkpointer runs it creates a new checkpoint  out of current and removes checkpoints created more than  fs.trash.interval minutes ago.  ","Number of minutes after which the checkpoint  gets deleted.  If zero, the trash feature is disabled.  This option may be configured both on the server and the  client. If trash is disabled server side then the client  side configuration is checked. If trash is enabled on the  server side then the value configured on the server is  used and the client configuration value is ignored.  "
