api_rate_limit,(Boolean) Enables or disables rate limit of the API.
compute_api_class,(String) The full class name of the compute API class to use
group_api_class,(String) The full class name of the group API class
osapi_volume_ext_list,(List of String) Specify list of extensions to load when using osapi_volume_extension option with cinder.api.contrib.select_extensions
osapi_volume_extension,(String) osapi volume extension to load
tcp_keepalive,(Boolean) Sets the value of TCP_KEEPALIVE (True/False) for each server socket.
tcp_keepalive_count,(Integer) Sets the value of TCP_KEEPCNT for each server socket. Not supported on OS X.
tcp_keepalive_interval,(Integer) Sets the value of TCP_KEEPINTVL in seconds for each server socket. Not supported on OS X.
volume_api_class,(String) The full class name of the volume API class to use
enable_proxy_headers_parsing,(Boolean) Whether the application is behind a proxy or not. This determines if the middleware should parse the headers or not.
max_request_body_size,"(Integer) The maximum body size for each request, in bytes."
auth_strategy,"(String(choices=[‘noauth’, ‘noauth_include_project_id’, ‘keystone’])) The strategy to use for auth. Supports noauth, noauth_include_project_id or keystone."
backend_native_threads_pool_size,"(Integer(min=20)) Size of the native threads pool for the backend.  Increase for backends that heavily rely on this, like the RBD driver."
backend_stats_polling_interval,"(Integer(min=3)) Time in seconds between requests for usage statistics from the backend.  Be aware that generating usage statistics is expensive for some backends, so setting this value too low may adversely affect performance."
extra_capabilities,"(String) User defined capabilities, a JSON formatted string specifying key/value pairs. The key/value pairs can be used by the CapabilitiesFilter to select between backends when requests specify volume types. For example, specifying a service level or the geographical location of a backend, then creating a volume type to allow the user to select by these different properties."
init_host_max_objects_retrieval,(Integer) Max number of volumes and snapshots to be retrieved per batch during volume manager host initialization. Query results will be obtained in batches from the database and not in one shot to avoid extreme memory usage. Set 0 to turn off this functionality.
migration_create_volume_timeout_secs,(Integer) Timeout for creating the volume to migrate to when performing volume migration (seconds)
reinit_driver_count,"(Integer) Maximum times to reintialize the driver if volume initialization fails. The interval of retry is exponentially backoff, and will be 1s, 2s, 4s etc."
suppress_requests_ssl_warnings,(Boolean) Suppress requests library SSL certificate warnings.
volume_driver,(String) Driver to use for volume creation
volume_service_inithost_offload,(Boolean) Offload pending volume delete during volume service startup
zoning_mode,"(String) FC Zoning mode configured, only ‘fabric’ is supported now."
allocated_capacity_weight_multiplier,(Float) Multiplier used for weighing allocated capacity. Positive numbers mean to stack vs spread.
