hadoop.common.configuration.version,version of this configuration file,0.23.0
hadoop.tmp.dir,A base for other temporary directories.,/tmp/hadoop-${user.name}
io.native.lib.available,Controls whether to use native libraries for bz2 and zlib compression codecs or not. The property does not control any other native libraries.  ,true
hadoop.http.filter.initializers,"A comma separated list of class names. Each class in the list  must extend org.apache.hadoop.http.FilterInitializer. The corresponding  Filter will be initialized. Then, the Filter will be applied to all user  facing jsp and servlet web pages.  The ordering of the list defines the  ordering of the filters.",org.apache.hadoop.http.lib.StaticUserWebFilter
hadoop.security.authorization,Is service-level authorization enabled?,false
hadoop.security.instrumentation.requires.admin," Indicates if administrator ACLs are required to access instrumentation servlets (JMX, METRICS, CONF, STACKS).  ",false
hadoop.security.authentication,"Possible values are simple (no authentication), and kerberos  ",simple
hadoop.security.group.mapping," Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used.  This implementation shells out to the Linux/Unix environment with the ",org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback
hadoop.security.dns.interface," The name of the Network Interface from which the service should determine its host name for Kerberos login. e.g. eth2. In a multi-homed environment, the setting can be used to affect the _HOST substitution in the service Kerberos principal. If this configuration value is not set, the service will use its default hostname as returned by InetAddress.getLocalHost().getCanonicalHostName(). Most clusters will not require this setting.  ",
hadoop.security.dns.nameserver, The host name or IP address of the name server (DNS) which a service Node should use to determine its own host name for Kerberos Login. Requires hadoop.security.dns.interface. Most clusters will not require this setting.  ,
hadoop.security.dns.log-slow-lookups.enabled, Time name lookups (via SecurityUtil) and log them if they exceed the configured threshold.  ,false
hadoop.security.dns.log-slow-lookups.threshold.ms," If slow lookup logging is enabled, this threshold is used to decide if a lookup is considered slow enough to be logged.  ",1000
hadoop.security.groups.cache.secs," This is the config controlling the validity of the entries in the cache containing the user->group mapping. When this duration has expired, then the implementation of the group mapping provider is invoked to get the groups of the user and then cached back.  ",300
hadoop.security.groups.negative-cache.secs," Expiration time for entries in the the negative user-to-group mapping caching, in seconds. This is useful when invalid users are retrying frequently. It is suggested to set a small value for this expiration, since a transient error in group lookup could temporarily lock out a legitimate user. Set this to zero or negative value to disable negative user-to-group caching.  ",30
hadoop.security.groups.cache.warn.after.ms," If looking up a single user to group takes longer than this amount of milliseconds, we will log a warning message.  ",5000
hadoop.security.groups.cache.background.reload," Whether to reload expired user->group mappings using a background thread pool. If set to true, a pool of hadoop.security.groups.cache.background.reload.threads is created to update the cache in the background.  ",false
hadoop.security.groups.cache.background.reload.threads, Only relevant if hadoop.security.groups.cache.background.reload is true. Controls the number of concurrent background user->group cache entry refreshes. Pending refresh requests beyond this value are queued and processed when a thread is free.  ,3
