yarn.ipc.client.factory.class,Factory to create client IPC classes.,
yarn.ipc.server.factory.class,Factory to create server IPC classes.,
yarn.ipc.record.factory.class,Factory to create serializeable records.,
yarn.ipc.rpc.class,RPC class implementation,org.apache.hadoop.yarn.ipc.HadoopYarnProtoRPC
yarn.resourcemanager.hostname,The hostname of the RM.,0.0.0.0
yarn.resourcemanager.address,The address of the applications manager interface in the RM.,${yarn.resourcemanager.hostname}:8032
yarn.resourcemanager.bind-host,"   The actual address the server will bind to. If this optional address is   set, the RPC and webapp servers will bind to this address and the port specified in   yarn.resourcemanager.address and yarn.resourcemanager.webapp.address, respectively. This   is most useful for making RM listen to all interfaces by setting to 0.0.0.0. ",
yarn.resourcemanager.auto-update.containers,"   If set to true, then ALL container updates will be automatically sent to   the NM in the next heartbeat",false
yarn.resourcemanager.client.thread-count,The number of threads used to handle applications manager requests.,50
yarn.resourcemanager.amlauncher.thread-count,Number of threads used to launch/cleanup AM.,50
yarn.resourcemanager.nodemanager-connect-retries,Retry times to connect with NM.,10
yarn.dispatcher.drain-events.timeout,"Timeout in milliseconds when YARN dispatcher tries to drain the   events. Typically, this happens when service is stopping. e.g. RM drains   the ATS events dispatcher when stopping. ",300000
yarn.am.liveness-monitor.expiry-interval-ms,The expiry interval for application master reporting.,600000
yarn.resourcemanager.principal,The Kerberos principal for the resource manager.,
yarn.resourcemanager.scheduler.address,The address of the scheduler interface.,${yarn.resourcemanager.hostname}:8030
yarn.resourcemanager.scheduler.client.thread-count,Number of threads to handle scheduler interface.,50
yarn.resourcemanager.application-master-service.processors,   Comma separated class names of ApplicationMasterServiceProcessor   implementations. The processors will be applied in the order   they are specified. ,
yarn.http.policy,  This configures the HTTP endpoint for YARN Daemons.The following  values are supported:  - HTTP_ONLY : Service is provided only on http  - HTTPS_ONLY : Service is provided only on https   ,HTTP_ONLY
yarn.resourcemanager.webapp.address,"   The http address of the RM web application.   If only a host is provided as the value,   the webapp will be served on a random port. ",${yarn.resourcemanager.hostname}:8088
yarn.resourcemanager.webapp.https.address,"   The https address of the RM web application.   If only a host is provided as the value,   the webapp will be served on a random port. ",${yarn.resourcemanager.hostname}:8090
yarn.resourcemanager.webapp.spnego-keytab-file, The Kerberos keytab file to be used for spnego filter for the RM web interface. ,
yarn.resourcemanager.webapp.spnego-principal, The Kerberos principal to be used for spnego filter for the RM web interface. ,
yarn.resourcemanager.webapp.ui-actions.enabled, Add button to kill application in the RM Application view. ,true
yarn.webapp.ui2.enable,To enable RM web ui2 application.,false
yarn.webapp.ui2.war-file-path,   Explicitly provide WAR file path for ui2 if needed. ,
yarn.resourcemanager.resource-tracker.address,,${yarn.resourcemanager.hostname}:8031
yarn.acl.enable,Are acls enabled.,false
yarn.acl.reservation-enable,Are reservation acls enabled.,false
yarn.admin.acl,ACL of who can be admin of the YARN cluster.,*
yarn.resourcemanager.admin.address,The address of the RM admin interface.,${yarn.resourcemanager.hostname}:8033
yarn.resourcemanager.admin.client.thread-count,Number of threads used to handle RM admin interface.,1
yarn.resourcemanager.connect.max-wait.ms,Maximum time to wait to establish connection to ResourceManager.,900000
yarn.resourcemanager.connect.retry-interval.ms,How often to try connecting to the ResourceManager.,30000
yarn.resourcemanager.am.max-attempts,"The maximum number of application attempts. It's a global setting for all application masters. Each application master can specify its individual maximum number of application attempts via the API, but the individual number cannot be more than the global upper bound. If it is, the resourcemanager will override it. The default number is set to 2, to allow at least one retry for AM.",2
yarn.resourcemanager.container.liveness-monitor.interval-ms,How often to check that containers are still alive. ,600000
yarn.resourcemanager.keytab,The keytab for the resource manager.,/etc/krb5.keytab
yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled,Flag to enable override of the default kerberos authentication filter with the RM authentication filter to allow authentication using delegation tokens(fallback to kerberos if the tokens are missing). Only applicable when the http authentication type is kerberos.,true
yarn.resourcemanager.webapp.cross-origin.enabled,Flag to enable cross-origin (CORS) support in the RM. This flag requires the CORS filter initializer to be added to the filter initializers list in core-site.xml.,false
yarn.nm.liveness-monitor.expiry-interval-ms,How long to wait until a node manager is considered dead.,600000
yarn.resourcemanager.nodes.include-path,Path to file with nodes to include.,
yarn.resourcemanager.nodes.exclude-path,Path to file with nodes to exclude.,
yarn.resourcemanager.node-ip-cache.expiry-interval-secs,The expiry interval for node IP caching. -1 disables the caching,-1
yarn.resourcemanager.resource-tracker.client.thread-count,Number of threads to handle resource tracker calls.,50
yarn.resourcemanager.scheduler.class,The class to use as the resource scheduler.,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.CapacityScheduler
yarn.scheduler.minimum-allocation-mb,"The minimum allocation for every container request at the RM in MBs. Memory requests lower than this will be set to the value of this property. Additionally, a node manager that is configured to have less memory than this value will be shut down by the resource manager.",1024
yarn.scheduler.maximum-allocation-mb,The maximum allocation for every container request at the RM in MBs. Memory requests higher than this will throw an InvalidResourceRequestException.,8192
yarn.scheduler.minimum-allocation-vcores,"The minimum allocation for every container request at the RM in terms of virtual CPU cores. Requests lower than this will be set to the value of this property. Additionally, a node manager that is configured to have fewer virtual cores than this value will be shut down by the resource manager.",1
yarn.scheduler.maximum-allocation-vcores,The maximum allocation for every container request at the RM in terms of virtual CPU cores. Requests higher than this will throw an InvalidResourceRequestException.,4
yarn.scheduler.include-port-in-node-name," Used by node labels.  If set to true, the port should be included in the node name.  Only usable if your scheduler supports node labels. ",false
yarn.resourcemanager.recovery.enabled,"Enable RM to recover state after starting. If true, then   yarn.resourcemanager.store.class must be specified. ",false
yarn.resourcemanager.fail-fast,"Should RM fail fast if it encounters any errors. By defalt, it   points to ${yarn.fail-fast}. Errors include:   1) exceptions when state-store write/read operations fails. ",${yarn.fail-fast}
yarn.fail-fast,"Should YARN fail fast if it encounters any errors.   This is a global config for all other components including RM,NM etc.   If no value is set for component-specific config (e.g yarn.resourcemanager.fail-fast),   this value will be the default. ",false
yarn.resourcemanager.work-preserving-recovery.enabled,Enable RM work preserving recovery. This configuration is private to YARN for experimenting the feature. ,true
yarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms,"Set the amount of time RM waits before allocating new containers on work-preserving-recovery. Such wait period gives RM a chance to settle down resyncing with NMs in the cluster on recovery, before assigning new containers to applications. ",10000
yarn.resourcemanager.store.class,"The class to use as the persistent store.   If org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore   is used, the store is implicitly fenced; meaning a single ResourceManager   is able to use the store at any point in time. More details on this   implicit fencing, along with setting up appropriate ACLs is discussed   under yarn.resourcemanager.zk-state-store.root-node.acl. ",org.apache.hadoop.yarn.server.resourcemanager.recovery.FileSystemRMStateStore
yarn.resourcemanager.ha.failover-controller.active-standby-elector.zk.retries,"When automatic failover is enabled, number of zookeeper   operation retry times in ActiveStandbyElector",
