id,filepath,var1,localvar1,var2,localvar2,code_snippet
1,apps/glance/glance/api/common.py,user,CONF.user_storage_quota,user_storage_quota,CONF.user_storage_quota,":param context:
    :param db_api:  The db_api in use for this configuration
    :param image_id: The image that will be replaced with this new data size
    :returns: The number of bytes the user has remaining under their quota.
             None means infinity
    """"""

    # NOTE(jbresnah) in the future this value will come from a call to
    # keystone.
    users_quota = CONF.user_storage_quota

    # set quota must have a number optionally followed by B, KB, MB,
    # GB or TB without any spaces in between
    pattern = re.compile(r'^(\d+)((K|M|G|T)?B)?$')
    match = pattern.match(users_quota)

    if not match:
        LOG.error(_LE(""Invalid value for option user_storage_quota: ""
                      ""%(users_quota)s""),"
2,apps/glance/glance/api/common.py,user,CONF.user_storage_quota,user_storage_quota,get_remaining_quota.CONF.user_storage_quota,":param context:
    :param db_api:  The db_api in use for this configuration
    :param image_id: The image that will be replaced with this new data size
    :returns: The number of bytes the user has remaining under their quota.
             None means infinity
    """"""

    # NOTE(jbresnah) in the future this value will come from a call to
    # keystone.
    users_quota = CONF.user_storage_quota

    # set quota must have a number optionally followed by B, KB, MB,
    # GB or TB without any spaces in between
    pattern = re.compile(r'^(\d+)((K|M|G|T)?B)?$')
    match = pattern.match(users_quota)

    if not match:
        LOG.error(_LE(""Invalid value for option user_storage_quota: ""
                      ""%(users_quota)s""),"
3,apps/glance/glance/api/common.py,user,get_remaining_quota.CONF.user_storage_quota,user_storage_quota,CONF.user_storage_quota,":param context:
    :param db_api:  The db_api in use for this configuration
    :param image_id: The image that will be replaced with this new data size
    :returns: The number of bytes the user has remaining under their quota.
             None means infinity
    """"""

    # NOTE(jbresnah) in the future this value will come from a call to
    # keystone.
    users_quota = CONF.user_storage_quota

    # set quota must have a number optionally followed by B, KB, MB,
    # GB or TB without any spaces in between
    pattern = re.compile(r'^(\d+)((K|M|G|T)?B)?$')
    match = pattern.match(users_quota)

    if not match:
        LOG.error(_LE(""Invalid value for option user_storage_quota: ""
                      ""%(users_quota)s""),"
4,apps/glance/glance/api/common.py,user,get_remaining_quota.CONF.user_storage_quota,user_storage_quota,get_remaining_quota.CONF.user_storage_quota,":param context:
    :param db_api:  The db_api in use for this configuration
    :param image_id: The image that will be replaced with this new data size
    :returns: The number of bytes the user has remaining under their quota.
             None means infinity
    """"""

    # NOTE(jbresnah) in the future this value will come from a call to
    # keystone.
    users_quota = CONF.user_storage_quota

    # set quota must have a number optionally followed by B, KB, MB,
    # GB or TB without any spaces in between
    pattern = re.compile(r'^(\d+)((K|M|G|T)?B)?$')
    match = pattern.match(users_quota)

    if not match:
        LOG.error(_LE(""Invalid value for option user_storage_quota: ""
                      ""%(users_quota)s""),"
5,apps/glance/glance/api/common.py,user,get_remaining_quota.users_quota,user_storage_quota,get_remaining_quota.users_quota,"None means infinity
    """"""

    # NOTE(jbresnah) in the future this value will come from a call to
    # keystone.
    users_quota = CONF.user_storage_quota

    # set quota must have a number optionally followed by B, KB, MB,
    # GB or TB without any spaces in between
    pattern = re.compile(r'^(\d+)((K|M|G|T)?B)?$')
    match = pattern.match(users_quota)

    if not match:
        LOG.error(_LE(""Invalid value for option user_storage_quota: ""
                      ""%(users_quota)s""),
                  {'users_quota': users_quota})
        raise exception.InvalidOptionValue(option='user_storage_quota',
                                           value=users_quota)

    quota_value, quota_unit = (match.groups())[0:2]"
6,apps/glance/glance/api/common.py,user,get_remaining_quota.users_quota,user_storage_quota,get_remaining_quota.users_quota,"None means infinity
    """"""

    # NOTE(jbresnah) in the future this value will come from a call to
    # keystone.
    users_quota = CONF.user_storage_quota

    # set quota must have a number optionally followed by B, KB, MB,
    # GB or TB without any spaces in between
    pattern = re.compile(r'^(\d+)((K|M|G|T)?B)?$')
    match = pattern.match(users_quota)

    if not match:
        LOG.error(_LE(""Invalid value for option user_storage_quota: ""
                      ""%(users_quota)s""),
                  {'users_quota': users_quota})
        raise exception.InvalidOptionValue(option='user_storage_quota',
                                           value=users_quota)

    quota_value, quota_unit = (match.groups())[0:2]"
7,apps/glance/glance/api/middleware/version_negotiation.py,enabled,CONF.enabled_backends,enabled_backends,CONF.enabled_backends,"allowed_versions['v2.3'] = 2
        allowed_versions['v2.4'] = 2
        allowed_versions['v2.5'] = 2
        allowed_versions['v2.6'] = 2
        allowed_versions['v2.7'] = 2
        allowed_versions['v2.9'] = 2
        if CONF.image_cache_dir:
            allowed_versions['v2.14'] = 2
            allowed_versions['v2.16'] = 2
        allowed_versions['v2.15'] = 2
        if CONF.enabled_backends:
            allowed_versions['v2.8'] = 2
            allowed_versions['v2.10'] = 2
            allowed_versions['v2.11'] = 2
            allowed_versions['v2.12'] = 2
            allowed_versions['v2.13'] = 2
        allowed_versions['v2.17'] = 2
        return allowed_versions

    def _match_version_string(self, subject):"
8,apps/glance/glance/api/middleware/version_negotiation.py,enabled,CONF.enabled_backends,enabled_backends,CONF.enabled_backends,"if CONF.enabled_backends:
            allowed_versions['v2.8'] = 2
            allowed_versions['v2.10'] = 2
            allowed_versions['v2.11'] = 2
            allowed_versions['v2.12'] = 2
            allowed_versions['v2.13'] = 2"
9,apps/glance/glance/api/v2/cached_images.py,debug,LOG.debug,image_cache_dir,CONF.image_cache_dir,"if CONF.image_cache_dir and not WORKER:
            # If we're the first, start the thread
            WORKER = CacheWorker()
            WORKER.start()
            LOG.debug('Started cache worker thread')"
10,apps/glance/glance/api/v2/discovery.py,enabled,CONF.enabled_backends,enabled_backends,CONF.enabled_backends,"'value': CONF.get('enabled_import_methods')
        }

        return {
            'import-methods': import_methods
        }

    def get_stores(self, req):
        # TODO(abhishekk): This will be removed after config options
        # 'stores' and 'default_store' are removed.
        enabled_backends = CONF.enabled_backends
        if not enabled_backends:
            msg = _(""Multi backend is not supported at this site."")
            raise webob.exc.HTTPNotFound(explanation=msg)

        backends = []
        for backend in enabled_backends:
            if backend.startswith(""os_glance_""):
                continue"
